n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
200000,5.0,2.98,0.998,0.64,0.346,2.98,0.998,0.79,0.814
200000,7.08,4.15,0.994,0.64,0.28,4.15,0.994,0.87,0.708
200000,9.08,5.98,0.992,0.61,0.638,5.98,0.992,1.09,0.914
200000,12.08,7.07,0.996,0.58,0.598,7.07,0.996,1.08,0.868
200000,14.0,7.97,0.998,0.55,0.768,7.97,0.998,1.26,0.94
200000,16.02,9.04,0.996,0.54,0.524,9.04,0.996,1.3,0.87
200000,17.81,10.87,1.0,0.58,0.666,10.87,1.0,1.4,0.908
200000,21.04,17.8,1.0,0.58,0.634,17.8,1.0,1.97,0.896
200000,23.1,13.02,1.0,0.55,0.604,13.02,1.0,1.52,0.888
200000,24.97,0.55,0.96,0.55,0.96,20.85,1.0,2.16,0.974
200000,27.0,1.48,0.92,1.48,0.92,16.73,1.0,1.99,0.97
200000,30.09,0.53,0.854,0.53,0.854,18.07,1.0,1.92,0.946
200000,31.88,0.53,0.956,0.53,0.956,28.88,1.0,2.66,0.974
200000,34.01,0.59,0.926,0.59,0.926,30.17,1.0,2.23,0.964
200000,38.94,0.54,0.962,0.54,0.962,27.75,1.0,2.86,0.976
200000,61.06,0.63,0.924,0.63,0.924,42.66,0.998,4.37,0.968
200000,65.83,0.52,0.978,0.52,0.978,37.37,0.998,3.54,0.978
200000,68.12,0.53,0.978,0.53,0.978,39.37,0.998,3.68,0.978
200000,70.28,2.48,0.974,2.48,0.974,53.97,0.998,4.12,0.974
200000,72.87,0.57,0.978,0.57,0.978,42.39,0.998,3.78,0.978
200000,75.03,0.62,0.978,0.62,0.978,48.54,0.998,5.5,0.978
200000,77.35,3.31,0.978,3.31,0.978,59.43,0.998,4.07,0.978
200000,78.96,0.66,0.954,0.66,0.954,46.69,0.998,3.85,0.976
200000,82.09,0.61,0.978,0.61,0.978,48.95,0.998,4.04,0.978
200000,83.71,1.67,0.976,1.67,0.976,60.39,0.998,3.98,0.976
200000,86.03,0.62,0.978,0.62,0.978,46.85,0.998,3.83,0.978
200000,88.19,1.01,0.978,1.01,0.978,62.18,0.998,4.31,0.978
200000,90.78,0.62,0.978,0.62,0.978,48.85,0.998,3.92,0.978
200000,92.94,1.92,0.98,1.92,0.98,65.07,0.998,3.96,0.98
200000,95.25,0.6,0.98,0.6,0.98,50.29,0.998,3.94,0.98
