phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,22,27,0.907765,0.9088333333333334,post_filter,0.5024589991080575,1.0,0.9748770500445971,32791.00201325491,2.7909991331398487
learning,16,19,0.728715,0.7221666666666666,post_filter,0.3851670044241473,1.0,0.9807416497787926,16040.998161770403,10.916002793237567
learning,29,23,0.82095,0.8133333333333334,post_filter,0.6597510000574403,1.0,0.967012449997128,19125.00010803342,2.624998160172254
learning,24,29,0.952505,0.9553333333333334,post_filter,0.5427920041256584,1.0,0.9728603997937171,28415.997803676873,0.12500095181167126
learning,35,2,0.09076,0.08566666666666667,bitmap_prefilter,5.754790996434167,1.0,0.7122604501782916,33041.00391687825,1.1250012903474271
learning,39,20,0.750325,0.7405,post_filter,0.5161259978194721,1.0,0.9741937001090264,10625.0008684583,1.3749959180131555
learning,36,11,0.3009,0.2981666666666667,bitmap_prefilter,16.04654100810876,1.0,0.19767294959456194,22917.00366185978,0.8749993867240846
learning,2,2,0.09076,0.08566666666666667,post_filter,0.6959160018595867,0.8,0.0,12542.004697024822,0.5830006557516754
learning,18,24,0.83714,0.836,post_filter,1.3754590036114678,1.0,0.9312270498194266,14291.996194515377,1.5409968909807503
learning,14,27,0.907765,0.9088333333333334,post_filter,0.597333004407119,1.0,0.970133349779644,11125.004675704986,0.08400093065574765
learning,6,27,0.907765,0.9088333333333334,post_filter,0.6365839944919571,1.0,0.9681708002754021,10916.99959943071,0.08400093065574765
learning,17,12,0.31878,0.3225,bitmap_prefilter,23.90449999802513,1.0,0.0,12290.998711250722,0.9580035111866891
learning,23,26,0.88188,0.8825,bitmap_prefilter,46.63699899538187,1.0,0.0,14375.000318977982,1.3749959180131555
learning,13,11,0.3009,0.2981666666666667,post_filter,0.6307500007096678,1.0,0.9684624999645166,3209.0028980746865,0.7499984349124134
learning,43,22,0.789645,0.7913333333333333,post_filter,0.8514159999322146,1.0,0.9574292000033893,10042.000212706625,1.334003172814846
learning,40,19,0.728715,0.7221666666666666,bitmap_prefilter,41.87550000642659,1.0,0.0,9999.996109399945,1.2079981388524175
learning,15,23,0.82095,0.8133333333333334,bitmap_prefilter,44.562208000570536,1.0,0.0,12625.001545529813,1.334003172814846
learning,17,12,0.31878,0.3225,post_filter,0.3297079965705052,1.0,0.9835146001714747,3374.996595084667,0.7499984349124134
learning,44,20,0.750325,0.7405,post_filter,0.560500004212372,1.0,0.9719749997893814,9458.002750761807,1.2079981388524175
learning,20,21,0.773455,0.7686666666666667,post_filter,1.6790839945315383,1.0,0.9160458002734231,10875.002772081643,1.1669981176964939
learning,3,24,0.83714,0.836,bitmap_prefilter,45.46562500036089,1.0,0.0,11165.997420903295,1.2909949873574078
learning,20,1,0.070755,0.07483333333333334,bitmap_prefilter,3.9269579938263632,1.0,0.8036521003086818,6082.998879719526,0.5420006345957518
learning,13,2,0.09076,0.08566666666666667,post_filter,0.681791003444232,1.0,0.9659104498277884,11875.0031106174,0.500003807246685
learning,45,18,0.70283,0.6958333333333333,bitmap_prefilter,40.19341700040968,1.0,0.0,8625.000191386789,1.2500022421590984
learning,31,20,0.750325,0.7405,bitmap_prefilter,46.94020799797727,1.0,0.0,9499.999578110874,1.1250012903474271
learning,41,29,0.952505,0.9553333333333334,post_filter,0.8600410001236014,1.0,0.9569979499938199,15208.002878353,0.12500095181167126
learning,9,14,0.389405,0.3953333333333333,bitmap_prefilter,26.823250998859294,1.0,0.0,17499.995010439306,0.9580035111866891
learning,47,7,0.210355,0.20866666666666667,post_filter,0.42929300252581015,1.0,0.9785353498737095,5750.000127591193,0.6659975042566657
learning,47,8,0.23102,0.23733333333333334,post_filter,0.46108299284242094,0.9,0.0,13749.995559919626,0.7499984349124134
learning,37,28,0.929375,0.9271666666666667,post_filter,0.6645000030403025,1.0,0.9667749998479849,14042.001566849649,0.12500095181167126
learning,23,12,0.31878,0.3225,bitmap_prefilter,23.596291001013014,1.0,0.0,2833.0032364465296,0.8329952834174037
learning,32,4,0.14001,0.13066666666666665,bitmap_prefilter,7.7447920048143715,1.0,0.6127603997592814,9167.00082598254,0.5830006557516754
learning,3,24,0.83714,0.836,post_filter,3.911250001692679,1.0,0.8044374999153661,12416.996469255537,1.3329990906640887
learning,40,4,0.14001,0.13066666666666665,bitmap_prefilter,7.775875004881527,1.0,0.6112062497559236,1833.0028979107738,0.5840047379024327
learning,27,21,0.773455,0.7686666666666667,post_filter,1.1668330043903552,1.0,0.9416583497804822,10374.998964834958,1.2500022421590984
learning,24,12,0.31878,0.3225,post_filter,0.4838339955313131,1.0,0.9758083002234343,2833.0032364465296,0.7499984349124134
learning,33,14,0.389405,0.3953333333333333,bitmap_prefilter,26.72145899850875,1.0,0.0,7083.996024448425,1.0410003596916795
learning,0,17,0.68122,0.6775,post_filter,0.580751002416946,1.0,0.9709624498791527,8333.998266607523,1.2500022421590984
learning,43,3,0.12083,0.124,post_filter,0.8479999960400164,1.0,0.9576000001979992,4791.996616404504,0.6249974831007421
learning,17,24,0.83714,0.836,post_filter,0.7078329945215955,1.0,0.9646083502739202,10916.99959943071,1.3750031939707696
learning,7,10,0.269975,0.27366666666666667,bitmap_prefilter,15.097374998731539,1.0,0.24513125006342307,6958.005542401224,0.8330025593750179
learning,29,5,0.16022,0.16,bitmap_prefilter,8.782083998085,1.0,0.56089580009575,2500.004484318197,0.6250047590583563
learning,46,23,0.82095,0.8133333333333334,bitmap_prefilter,44.40250000334345,1.0,0.0,11791.998986154795,1.3329990906640887
learning,48,16,0.658305,0.6626666666666666,bitmap_prefilter,36.768417005077936,1.0,0.0,19083.003280684352,1.1669981176964939
learning,6,29,0.952505,0.9553333333333334,post_filter,0.6422080041375011,1.0,0.9678895997931249,14457.997167482972,0.12500095181167126
learning,40,27,0.907765,0.9088333333333334,post_filter,0.5056250010966323,1.0,0.9747187499451684,10957.999620586634,0.08400093065574765
learning,40,9,0.249675,0.2595,post_filter,0.4419999968376942,0.6,0.0,1958.003849722445,0.790998456068337
learning,9,6,0.178125,0.17883333333333334,bitmap_prefilter,10.4739580056048,1.0,0.47630209971976,3417.000698391348,0.6249974831007421
learning,34,5,0.16022,0.16,post_filter,0.4273749946150929,1.0,0.9786312502692454,2000.0006770715117,0.5830006557516754
learning,33,29,0.952505,0.9553333333333334,post_filter,0.690499997290317,1.0,0.9654750001354842,13999.997463542968,0.08299684850499034
learning,0,29,0.952505,0.9553333333333334,post_filter,0.6780000039725564,1.0,0.9660999998013722,13666.998711414635,0.08299684850499034
learning,20,19,0.728715,0.7221666666666666,bitmap_prefilter,41.58045800431864,1.0,0.0,9416.00592341274,1.2500022421590984
learning,23,3,0.12083,0.124,post_filter,0.5415410050773062,0.2,0.0,1250.0022421590984,0.5840047379024327
learning,19,26,0.88188,0.8825,bitmap_prefilter,47.72116599633591,1.0,0.0,12292.00279340148,1.2919990695081651
learning,36,7,0.210355,0.20866666666666667,post_filter,0.580624007852748,0.0,0.0,3167.00607072562,0.667001586407423
learning,46,2,0.09076,0.08566666666666667,bitmap_prefilter,5.383957992307842,1.0,0.7308021003846079,11374.999303370714,0.5410038284026086
learning,48,2,0.09076,0.08566666666666667,post_filter,0.6362080021062866,0.9,0.0,11457.996151875705,0.5420006345957518
learning,8,4,0.14001,0.13066666666666665,post_filter,0.4784579941770062,1.0,0.9760771002911497,1750.0060494057834,0.5830006557516754
learning,10,17,0.68122,0.6775,bitmap_prefilter,37.87708200252382,1.0,0.0,3042.0051189139485,1.124994014389813
learning,38,27,0.907765,0.9088333333333334,post_filter,0.7235000011860393,1.0,0.963824999940698,10959.003702737391,0.08300412446260452
learning,13,13,0.340115,0.3471666666666667,post_filter,0.7503750020987354,1.0,0.9624812498950632,7290.997018571943,0.8749993867240846
learning,46,24,0.83714,0.836,post_filter,0.5135430037626065,1.0,0.9743228498118697,10790.994565468282,1.291002263315022
learning,19,22,0.789645,0.7913333333333333,bitmap_prefilter,44.02000000118278,1.0,0.0,10042.000212706625,1.3339958968572319
learning,41,21,0.773455,0.7686666666666667,bitmap_prefilter,43.047416998888366,1.0,0.0,10042.000212706625,1.2090022210031748
learning,33,28,0.929375,0.9271666666666667,post_filter,0.6829989943071268,1.0,0.9658500502846437,13124.998076818883,0.12500095181167126
