filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
main_cat='Automotive',single,0.00117,0.001289,0.000119,10.15,0.25
"main_cat='Arts, Crafts & Sewing'",single,0.001368,0.001031,0.000337,24.66,0.29
main_cat='Amazon Home',single,0.001438,0.001031,0.000407,28.3,0.29
main_cat='Portable Audio &amp; Accessories',single,0.001453,0.002062,0.000608,41.87,0.25
main_cat='Health & Personal Care',single,0.00166,0.002577,0.000918,55.3,0.29
brand='Allsop',single,0.002113,0.001804,0.000309,14.62,0.25
brand='Gam3Gear',single,0.002126,0.001546,0.00058,27.26,0.29
brand='C2G/Cables To Go',single,0.002162,0.002577,0.000415,19.21,0.33
brand='Domke',single,0.002247,0.00232,7.3e-05,3.23,0.29
brand='JBL',single,0.00226,0.003351,0.001091,48.25,0.29
brand='APC',single,0.002306,0.004124,0.001817,78.8,0.33
brand='Apple',single,0.002309,0.002062,0.000247,10.7,0.29
brand='Mighty Bright',single,0.002412,0.001546,0.000866,35.89,0.29
brand='Polaroid',single,0.002466,0.001804,0.000662,26.84,0.33
brand='Epartsdom',single,0.002474,0.00232,0.000154,6.24,0.29
brand='Gardner Bender',single,0.002538,0.002577,3.9e-05,1.54,0.29
brand='OP/TECH USA',single,0.002559,0.003093,0.000534,20.86,0.29
brand='Acoustic Research',single,0.002621,0.004381,0.001761,67.18,0.29
brand='Philips',single,0.002811,0.002577,0.000234,8.33,0.33
brand='Tivoli Audio',single,0.002814,0.002062,0.000752,26.73,0.29
brand='Wiremold',single,0.002866,0.00232,0.000546,19.05,0.29
brand='National Hardware',single,0.002961,0.003351,0.00039,13.16,0.29
brand='Uniden',single,0.002966,0.002835,0.000131,4.42,0.29
brand='AVerMedia',single,0.003012,0.002577,0.000435,14.44,0.29
brand='Rio',single,0.003036,0.003351,0.000315,10.37,0.29
brand='JLAB',single,0.003064,0.003093,2.9e-05,0.94,0.29
brand='Adesso',single,0.003213,0.002577,0.000636,19.8,0.33
brand='Targus',single,0.003347,0.003608,0.000261,7.79,0.29
brand='Green Leaf',single,0.003407,0.004381,0.000975,28.61,0.29
brand='Motorola',single,0.003595,0.003351,0.000244,6.8,0.29
brand='VideoSecu',single,0.003688,0.003351,0.000337,9.14,0.29
brand='Rolodex',single,0.003878,0.003351,0.000528,13.61,0.33
main_cat='Sports &amp; Outdoors',single,0.004038,0.004124,8.6e-05,2.12,0.25
brand='Kingston',single,0.004172,0.003866,0.000306,7.34,0.29
brand='Visit Amazon's Ava Miles Page',single,0.004448,0.00567,0.001222,27.48,0.29
brand='Coby',single,0.004499,0.00567,0.001171,26.02,0.29
brand='Kodak',single,0.004809,0.004124,0.000685,14.24,0.29
brand='Brother',single,0.004948,0.006186,0.001238,25.02,0.29
brand='Pioneer',single,0.004997,0.006443,0.001447,28.95,0.29
brand='Klipsch',single,0.005306,0.006701,0.001395,26.29,0.29
brand='SANOXY',single,0.005324,0.005155,0.000169,3.18,0.29
brand='Fellowes',single,0.005476,0.005412,6.4e-05,1.16,0.29
