filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
brand='Midland',single,0.005551,0.008505,0.002954,53.23,0.29
brand='Terk',single,0.005564,0.003866,0.001698,30.51,0.29
brand='Sangean',single,0.005589,0.004381,0.001208,21.61,0.29
brand='DTOL',single,0.005698,0.007732,0.002034,35.71,0.29
brand='Plantronics',single,0.005716,0.005412,0.000303,5.31,0.29
brand='Microsoft',single,0.005754,0.006443,0.000689,11.97,0.29
main_cat='Tools & Home Improvement' AND overall>=5.0,compound,0.005842,0.006186,0.000344,5.88,1.37
main_cat='Tools &amp; Home Improvement' AND overall>=4.0,compound,0.005942,0.007474,0.001532,25.78,3.13
brand='Barnes &amp; Noble',single,0.005945,0.004124,0.001821,30.64,0.29
brand='SanDisk',single,0.006146,0.006186,4e-05,0.64,0.29
main_cat='Cell Phones & Accessories' AND overall>=4.0,compound,0.006167,0.006186,1.9e-05,0.31,3.13
main_cat='Car Electronics' AND overall>=5.0,compound,0.006406,0.004639,0.001767,27.58,1.42
main_cat='Tools &amp; Home Improvement' AND overall>=3.0,compound,0.006597,0.008247,0.00165,25.02,5.29
brand='Creative',single,0.006674,0.00567,0.001004,15.05,0.29
brand='Garmin',single,0.006757,0.008247,0.001491,22.06,0.25
brand='Cobra',single,0.006777,0.004124,0.002654,39.15,0.29
main_cat='Tools & Home Improvement' AND overall>=4.0,compound,0.006816,0.006701,0.000115,1.69,3.04
main_cat='Cell Phones & Accessories' AND overall>=3.0,compound,0.006976,0.007474,0.000498,7.15,5.25
brand='RCA',single,0.006981,0.006701,0.00028,4.01,0.29
brand='Olympus',single,0.007053,0.004639,0.002414,34.22,0.29
main_cat='Cell Phones &amp; Accessories' AND overall>=4.0,compound,0.007079,0.008247,0.001169,16.51,3.21
brand='Audio-Technica',single,0.007087,0.008247,0.001161,16.38,0.29
main_cat='Tools & Home Improvement' AND overall>=3.0,compound,0.007218,0.006701,0.000517,7.16,5.25
brand='Cyber Acoustics',single,0.007509,0.007732,0.000223,2.97,0.29
brand='Verbatim',single,0.007548,0.008505,0.000957,12.68,0.29
main_cat='Sports & Outdoors' AND overall>=5.0,compound,0.007548,0.00799,0.000442,5.85,1.96
main_cat='Tools &amp; Home Improvement',single,0.007648,0.009536,0.001888,24.68,0.29
brand='Bose',single,0.0078,0.009278,0.001478,18.95,0.29
main_cat='Tools & Home Improvement',single,0.007901,0.007216,0.000684,8.66,0.25
brand='Monster',single,0.007919,0.008247,0.000329,4.15,0.29
main_cat='Cell Phones &amp; Accessories' AND overall>=3.0,compound,0.008128,0.009021,0.000893,10.99,5.33
brand='Fujifilm',single,0.008205,0.008247,4.2e-05,0.52,0.29
main_cat='Car Electronics' AND overall>=4.0,compound,0.008318,0.007474,0.000844,10.15,3.25
main_cat='Office Products' AND overall>=5.0,compound,0.008927,0.009021,9.4e-05,1.05,2.12
main_cat='Cell Phones & Accessories',single,0.008942,0.009278,0.000336,3.76,0.29
main_cat='Books' AND overall>=5.0,compound,0.008942,0.010567,0.001625,18.17,1.29
main_cat='Car Electronics' AND overall>=3.0,compound,0.009081,0.00799,0.001091,12.02,5.21
brand='Polk Audio',single,0.009133,0.011082,0.00195,21.35,0.33
brand='Memorex',single,0.009377,0.010825,0.001447,15.43,0.29
brand='D-Link',single,0.00997,0.008763,0.001207,12.11,0.33
main_cat='Sports & Outdoors' AND overall>=4.0,compound,0.010233,0.011856,0.001623,15.86,3.79
brand='Kensington',single,0.010267,0.010567,0.000301,2.93,0.29
main_cat='Car Electronics',single,0.010602,0.008763,0.001839,17.34,0.25
brand='TRENDnet',single,0.010632,0.008763,0.00187,17.58,0.29
main_cat='Cell Phones &amp; Accessories',single,0.010949,0.010825,0.000125,1.14,0.29
main_cat='Office Products' AND overall>=4.0,compound,0.010949,0.011082,0.000133,1.22,3.92
main_cat='Sports & Outdoors' AND overall>=3.0,compound,0.011418,0.012113,0.000695,6.09,6.04
main_cat='Office Products' AND overall>=3.0,compound,0.011846,0.012113,0.000267,2.26,6.21
main_cat='Books' AND overall>=4.0,compound,0.012166,0.014691,0.002525,20.76,3.08
brand='3M',single,0.012266,0.011082,0.001184,9.65,0.29
brand='Celestron',single,0.012524,0.014175,0.001651,13.19,0.29
main_cat='Office Products',single,0.013135,0.01366,0.000525,4.0,0.25
main_cat='Sports & Outdoors',single,0.0133,0.014175,0.000876,6.58,0.25
main_cat='Books' AND overall>=3.0,compound,0.013328,0.015722,0.002394,17.96,5.21
brand='Logitech',single,0.014006,0.01701,0.003005,21.45,0.29
brand='NETGEAR',single,0.014348,0.014691,0.000342,2.39,0.29
brand='Case Logic',single,0.014493,0.010567,0.003926,27.09,0.29
main_cat='Books',single,0.014555,0.016495,0.00194,13.33,0.5
brand='Bushnell',single,0.016297,0.017784,0.001487,9.12,0.29
brand='Linksys',single,0.018866,0.01933,0.000464,2.46,0.29
brand='Sennheiser',single,0.020136,0.020876,0.00074,3.68,0.25
brand='C2G',single,0.02076,0.020361,0.000399,1.92,0.29
brand='Maxell',single,0.021036,0.020361,0.000675,3.21,0.29
main_cat='Computers' AND overall>=5.0,compound,0.022123,0.019845,0.002278,10.3,2.33
brand='StarTech',single,0.022218,0.021649,0.000569,2.56,0.29
main_cat='Musical Instruments' AND overall>=5.0,compound,0.022515,0.018814,0.0037,16.43,2.04
brand='Hosa',single,0.027274,0.024485,0.00279,10.23,0.29
main_cat='Musical Instruments' AND overall>=4.0,compound,0.028509,0.024485,0.004024,14.12,4.08
main_cat='Computers' AND overall>=4.0,compound,0.028511,0.02732,0.001192,4.18,4.25
brand='Koss',single,0.02857,0.033247,0.004677,16.37,0.33
main_cat='Musical Instruments' AND overall>=3.0,compound,0.030869,0.027577,0.003292,10.66,6.17
brand='Nikon',single,0.031356,0.027062,0.004294,13.7,0.29
main_cat='Computers' AND overall>=3.0,compound,0.031488,0.029639,0.001848,5.87,6.42
brand='Tripp Lite',single,0.033768,0.035052,0.001283,3.8,0.29
main_cat='Musical Instruments',single,0.034242,0.030928,0.003314,9.68,0.25
brand='Panasonic',single,0.038744,0.044588,0.005843,15.08,0.29
main_cat='Computers',single,0.039162,0.038144,0.001017,2.6,0.29
brand='Belkin',single,0.047606,0.048711,0.001105,2.32,0.29
"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",in_set,0.050111,0.048969,0.001142,2.28,0.58
brand='Tiffen',single,0.050291,0.048454,0.001838,3.65,0.29
verified=false AND overall<=2.0,compound,0.051889,0.045361,0.006528,12.58,2.88
"main_cat IN ('Computers', 'Office Products')",in_set,0.052296,0.051804,0.000492,0.94,0.67
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,0.052461,0.05232,0.000142,0.27,0.58
"main_cat IN ('Computers', 'Books')",in_set,0.053716,0.054639,0.000923,1.72,0.54
main_cat='Camera &amp; Photo' AND overall>=5.0,compound,0.053987,0.050515,0.003471,6.43,2.62
brand='Canon',single,0.058808,0.054124,0.004685,7.97,0.29
brand='Sony',single,0.064364,0.064433,6.9e-05,0.11,0.25
main_cat='Home Audio &amp; Theater' AND overall>=5.0,compound,0.066807,0.076031,0.009224,13.81,2.83
main_cat='Camera &amp; Photo' AND overall>=4.0,compound,0.068464,0.063402,0.005062,7.39,4.54
verified=false AND overall<=3.0,compound,0.071283,0.063918,0.007366,10.33,3.79
"main_cat IN ('Computers', 'Musical Instruments')",in_set,0.073404,0.069072,0.004332,5.9,0.67
main_cat='Camera &amp; Photo' AND overall>=3.0,compound,0.073636,0.068299,0.005337,7.25,7.17
main_cat='Camera &amp; Photo',single,0.081807,0.077062,0.004746,5.8,0.25
main_cat='Camera & Photo' AND overall>=5.0,compound,0.083462,0.078866,0.004596,5.51,2.83
main_cat='Home Audio &amp; Theater' AND overall>=4.0,compound,0.085995,0.094845,0.00885,10.29,4.92
"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",in_set,0.092409,0.085825,0.006584,7.12,0.67
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.092757,0.087887,0.00487,5.25,0.67
main_cat='Home Audio &amp; Theater' AND overall>=3.0,compound,0.093965,0.101804,0.007839,8.34,7.04
"main_cat IN ('Camera &amp; Photo', 'Office Products')",in_set,0.094942,0.090722,0.00422,4.45,0.75
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.095107,0.091237,0.00387,4.07,0.67
"main_cat IN ('Camera &amp; Photo', 'Books')",in_set,0.096362,0.093557,0.002805,2.91,0.71
verified=true AND overall<=2.0,compound,0.097019,0.093814,0.003205,3.3,3.62
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.103358,0.096649,0.006709,6.49,1.04
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Car Electronics')",in_set,0.105544,0.099485,0.006059,5.74,1.12
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.105708,0.1,0.005708,5.4,1.08
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.105891,0.101546,0.004345,4.1,1.08
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.106056,0.102062,0.003994,3.77,1.04
"main_cat IN ('Camera &amp; Photo', 'Books', 'Car Electronics')",in_set,0.106963,0.10232,0.004644,4.34,1.0
"main_cat IN ('Camera &amp; Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.107311,0.104381,0.00293,2.73,1.0
main_cat='Camera & Photo' AND overall>=4.0,compound,0.107724,0.108247,0.000524,0.49,4.83
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.108242,0.104897,0.003345,3.09,1.17
"main_cat IN ('Camera &amp; Photo', 'Books', 'Office Products')",in_set,0.109497,0.107216,0.00228,2.08,1.04
"main_cat IN ('Camera &amp; Photo', 'Books', 'Sports & Outdoors')",in_set,0.109661,0.107732,0.001929,1.76,1.04
main_cat='Home Audio &amp; Theater',single,0.109932,0.114433,0.004501,4.09,0.29
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments')",in_set,0.11605,0.10799,0.00806,6.95,0.71
main_cat='Camera & Photo' AND overall>=3.0,compound,0.116578,0.114175,0.002403,2.06,7.13
verified=false AND overall<=4.0,compound,0.119544,0.105928,0.013616,11.39,5.71
"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",in_set,0.120534,0.123196,0.002662,2.21,0.79
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.120881,0.125258,0.004376,3.62,0.79
"main_cat IN ('Camera &amp; Photo', 'Computers')",in_set,0.120969,0.115206,0.005763,4.76,0.83
verified=false AND overall>=5.0,compound,0.122095,0.11933,0.002765,2.26,3.62
"overall IN (2,3)",in_set,0.122933,0.115979,0.006953,5.66,0.92
"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",in_set,0.123067,0.128093,0.005026,4.08,0.83
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors')",in_set,0.123232,0.128608,0.005377,4.36,0.79
"main_cat IN ('Home Audio &amp; Theater', 'Books')",in_set,0.124487,0.130928,0.006441,5.17,0.79
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.126651,0.116753,0.009899,7.82,1.17
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.126999,0.118814,0.008185,6.44,1.08
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Office Products')",in_set,0.129184,0.121649,0.007535,5.83,1.13
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.129349,0.122165,0.007184,5.55,1.08
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Books')",in_set,0.130604,0.124485,0.00612,4.69,0.96
main_cat='Camera & Photo',single,0.130617,0.125258,0.005359,4.1,0.25
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.131483,0.134021,0.002538,1.93,1.25
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Car Electronics')",in_set,0.131571,0.123969,0.007601,5.78,1.25
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.131918,0.126031,0.005887,4.46,1.13
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Car Electronics')",in_set,0.133668,0.136856,0.003188,2.38,1.29
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Car Electronics')",in_set,0.133833,0.137371,0.003538,2.64,1.25
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.134016,0.138918,0.004901,3.66,1.29
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Office Products')",in_set,0.134104,0.128866,0.005238,3.91,1.21
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.134181,0.139433,0.005252,3.91,1.25
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Sports & Outdoors')",in_set,0.134269,0.129381,0.004887,3.64,1.13
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",in_set,0.135088,0.139691,0.004603,3.41,1.17
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.135436,0.141753,0.006317,4.66,1.04
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Books')",in_set,0.135524,0.131701,0.003823,2.82,0.96
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",in_set,0.136366,0.142268,0.005902,4.33,1.38
main_cat='Home Audio & Theater' AND overall>=5.0,compound,0.136557,0.143299,0.006742,4.94,3.42
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Office Products')",in_set,0.137621,0.144588,0.006966,5.06,1.25
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Sports & Outdoors')",in_set,0.137786,0.145103,0.007317,5.31,1.12
"main_cat IN ('Camera & Photo', 'Car Electronics')",in_set,0.141219,0.134021,0.007198,5.1,0.79
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories')",in_set,0.141566,0.136082,0.005484,3.87,0.71
"main_cat IN ('Camera & Photo', 'Office Products')",in_set,0.143752,0.138918,0.004834,3.36,0.79
"main_cat IN ('Camera & Photo', 'Sports & Outdoors')",in_set,0.143917,0.139433,0.004484,3.12,0.79
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments')",in_set,0.144174,0.145361,0.001187,0.82,0.75
"main_cat IN ('Camera & Photo', 'Books')",in_set,0.145172,0.141753,0.003419,2.36,0.58
overall<=2.0,range,0.148908,0.139175,0.009733,6.54,1.17
"overall IN (1,2)",in_set,0.148908,0.139175,0.009733,6.54,0.96
"main_cat IN ('Home Audio &amp; Theater', 'Computers')",in_set,0.149094,0.152577,0.003484,2.34,0.83
verified=true AND overall<=3.0,compound,0.150019,0.141237,0.008782,5.85,4.96
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.152168,0.144845,0.007323,4.81,1.21
"main_cat IN ('Camera & Photo', 'Office Products', 'Car Electronics')",in_set,0.154353,0.14768,0.006673,4.32,1.29
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.154518,0.148196,0.006322,4.09,1.33
"main_cat IN ('Camera & Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.154701,0.149742,0.004959,3.21,1.25
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Car Electronics')",in_set,0.154776,0.154124,0.000652,0.42,1.33
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.154866,0.150258,0.004608,2.98,1.21
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.155124,0.156186,0.001062,0.68,1.25
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Musical Instruments')",in_set,0.155211,0.146134,0.009077,5.85,1.25
"main_cat IN ('Camera & Photo', 'Books', 'Car Electronics')",in_set,0.155773,0.150515,0.005258,3.38,1.13
"main_cat IN ('Camera & Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.156121,0.152577,0.003544,2.27,1.0
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.157051,0.153093,0.003958,2.52,1.37
main_cat='All Electronics' AND overall>=5.0,compound,0.157278,0.162113,0.004835,3.07,3.63
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Office Products')",in_set,0.157309,0.159021,0.001712,1.09,1.33
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.157474,0.159536,0.002062,1.31,1.29
"main_cat IN ('Camera & Photo', 'Books', 'Office Products')",in_set,0.158306,0.155412,0.002894,1.83,1.17
"main_cat IN ('Camera & Photo', 'Books', 'Sports & Outdoors')",in_set,0.158471,0.155928,0.002543,1.6,1.13
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Books')",in_set,0.158729,0.161856,0.003127,1.97,1.04
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Car Electronics')",in_set,0.159695,0.16134,0.001645,1.03,1.46
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.160043,0.163402,0.003359,2.1,1.33
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Office Products')",in_set,0.162228,0.166237,0.004009,2.47,1.5
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Sports & Outdoors')",in_set,0.162393,0.166753,0.004359,2.68,1.38
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Books')",in_set,0.163648,0.169072,0.005424,3.31,1.08
"main_cat IN ('Camera & Photo', 'Musical Instruments')",in_set,0.164859,0.156186,0.008674,5.26,0.79
"main_cat IN ('Camera & Photo', 'Computers')",in_set,0.169779,0.163402,0.006377,3.76,0.83
verified=false AND overall>=4.0,compound,0.170356,0.16134,0.009016,5.29,5.62
"overall IN (1,3)",in_set,0.170763,0.155155,0.015608,9.14,1.04
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.175461,0.164948,0.010512,5.99,1.38
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.175809,0.16701,0.008798,5.0,1.21
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Office Products')",in_set,0.177994,0.169845,0.008149,4.58,1.42
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.178159,0.170361,0.007798,4.38,1.33
main_cat='Home Audio & Theater' AND overall>=4.0,compound,0.178716,0.189175,0.01046,5.85,5.37
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Books')",in_set,0.179414,0.17268,0.006733,3.75,1.04
"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",in_set,0.18038,0.172165,0.008215,4.55,1.5
"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.180728,0.174227,0.006501,3.6,1.29
"main_cat IN ('Camera & Photo', 'Computers', 'Office Products')",in_set,0.182913,0.177062,0.005852,3.2,1.46
"main_cat IN ('Camera & Photo', 'Computers', 'Sports & Outdoors')",in_set,0.183078,0.177577,0.005501,3.0,1.42
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Musical Instruments')",in_set,0.183336,0.183505,0.000169,0.09,1.46
"main_cat IN ('Camera & Photo', 'Computers', 'Books')",in_set,0.184333,0.179897,0.004436,2.41,1.04
verified=false AND overall>=3.0,compound,0.18975,0.179897,0.009853,5.19,7.88
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo')",in_set,0.191739,0.191495,0.000245,0.13,0.96
main_cat='Home Audio & Theater' AND overall>=3.0,compound,0.196324,0.207216,0.010893,5.55,7.79
main_cat='All Electronics' AND overall>=4.0,compound,0.202083,0.201289,0.000795,0.39,6.46
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.202341,0.200258,0.002083,1.03,1.58
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.202689,0.20232,0.000369,0.18,1.46
"main_cat IN ('Camera & Photo', 'Computers', 'Musical Instruments')",in_set,0.204021,0.19433,0.009691,4.75,1.5
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Office Products')",in_set,0.204874,0.205155,0.000281,0.14,1.62
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.205039,0.20567,0.000631,0.31,1.5
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Books')",in_set,0.206294,0.20799,0.001696,0.82,1.17
verified=false AND overall>=2.0,compound,0.206296,0.196392,0.009905,4.8,10.46
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",in_set,0.212424,0.20232,0.010105,4.76,1.04
overall<=3.0,range,0.221302,0.205155,0.016147,7.3,1.79
"overall IN (1,2,3)",in_set,0.221302,0.205155,0.016147,7.3,1.62
main_cat='All Electronics' AND overall>=3.0,compound,0.221585,0.21933,0.002256,1.02,7.75
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.223026,0.211082,0.011943,5.36,1.67
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.223374,0.213144,0.010229,4.58,1.5
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Office Products')",in_set,0.225559,0.215979,0.00958,4.25,1.67
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.225724,0.216495,0.009229,4.09,1.54
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.225982,0.222423,0.003559,1.57,1.58
"overall IN (2,4)",in_set,0.226317,0.231186,0.004869,2.15,1.08
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Books')",in_set,0.226979,0.218814,0.008165,3.6,1.17
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",in_set,0.230901,0.229639,0.001262,0.55,1.75
main_cat='Home Audio & Theater',single,0.231638,0.243041,0.011403,4.92,0.29
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater')",in_set,0.240549,0.239691,0.000858,0.36,1.0
verified=false AND overall<=5.0,compound,0.241639,0.225258,0.016381,6.78,13.54
verified=false,single,0.241639,0.225258,0.016381,6.78,0.25
"main_cat IN ('Home Audio & Theater', 'Car Electronics')",in_set,0.24224,0.251804,0.009565,3.95,1.08
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories')",in_set,0.242587,0.253866,0.011279,4.65,1.0
"main_cat IN ('Home Audio & Theater', 'Office Products')",in_set,0.244773,0.256701,0.011928,4.87,1.04
"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors')",in_set,0.244938,0.257216,0.012279,5.01,1.08
"main_cat IN ('Home Audio & Theater', 'Books')",in_set,0.246193,0.259536,0.013344,5.42,0.54
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.246667,0.233247,0.013419,5.44,1.54
"overall IN (3,4)",in_set,0.248172,0.247165,0.001007,0.41,1.13
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",in_set,0.251151,0.248454,0.002697,1.07,1.79
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.251498,0.250515,0.000983,0.39,1.62
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Computers')",in_set,0.251586,0.240464,0.011122,4.42,1.87
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.253189,0.262629,0.00944,3.73,1.83
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Office Products')",in_set,0.253684,0.253351,0.000333,0.13,1.79
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Sports & Outdoors')",in_set,0.253849,0.253866,1.7e-05,0.01,1.71
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Books')",in_set,0.255104,0.256186,0.001082,0.42,1.25
