filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
main_cat='Automotive',single,0.00117,0.001134,3.6e-05,3.08,0.25
"main_cat='Arts, Crafts & Sewing'",single,0.001368,0.001546,0.000178,13.0,0.29
main_cat='Amazon Home',single,0.001438,0.001134,0.000304,21.14,0.29
main_cat='Portable Audio &amp; Accessories',single,0.001453,0.00134,0.000113,7.8,0.29
main_cat='Health & Personal Care',single,0.00166,0.001598,6.2e-05,3.72,0.33
brand='Allsop',single,0.002113,0.001855,0.000258,12.19,0.25
brand='Gam3Gear',single,0.002126,0.00201,0.000116,5.45,0.29
brand='C2G/Cables To Go',single,0.002162,0.001701,0.000461,21.33,0.29
brand='Domke',single,0.002247,0.002268,2.1e-05,0.92,0.33
brand='JBL',single,0.00226,0.002474,0.000214,9.47,0.29
brand='APC',single,0.002306,0.002371,6.5e-05,2.8,0.29
brand='Apple',single,0.002309,0.002371,6.2e-05,2.68,0.29
brand='Mighty Bright',single,0.002412,0.002113,0.000299,12.39,0.29
brand='Polaroid',single,0.002466,0.002268,0.000198,8.04,0.29
brand='Epartsdom',single,0.002474,0.002474,0.0,0.0,0.29
brand='Gardner Bender',single,0.002538,0.002113,0.000425,16.75,0.29
brand='OP/TECH USA',single,0.002559,0.002835,0.000276,10.78,0.29
brand='Acoustic Research',single,0.002621,0.00201,0.000611,23.3,0.29
brand='Philips',single,0.002811,0.002886,7.5e-05,2.66,0.29
brand='Tivoli Audio',single,0.002814,0.002835,2.1e-05,0.74,0.29
brand='Wiremold',single,0.002866,0.003041,0.000175,6.12,0.29
brand='National Hardware',single,0.002961,0.002783,0.000178,6.0,0.29
brand='Uniden',single,0.002966,0.002783,0.000183,6.16,0.29
brand='AVerMedia',single,0.003012,0.003608,0.000595,19.77,0.29
brand='Rio',single,0.003036,0.003556,0.000521,17.15,0.29
brand='JLAB',single,0.003064,0.003041,2.3e-05,0.75,0.29
brand='Adesso',single,0.003213,0.003196,1.8e-05,0.56,0.29
brand='Targus',single,0.003347,0.003196,0.000152,4.54,0.29
brand='Green Leaf',single,0.003407,0.003711,0.000304,8.93,0.29
brand='Motorola',single,0.003595,0.003814,0.000219,6.1,0.29
brand='VideoSecu',single,0.003688,0.003505,0.000183,4.96,0.29
brand='Rolodex',single,0.003878,0.00335,0.000528,13.62,0.29
main_cat='Sports &amp; Outdoors',single,0.004038,0.00402,1.8e-05,0.44,0.29
brand='Kingston',single,0.004172,0.004793,0.000621,14.89,0.29
brand='Visit Amazon's Ava Miles Page',single,0.004448,0.005618,0.00117,26.31,0.29
brand='Coby',single,0.004499,0.005618,0.001119,24.86,0.29
brand='Kodak',single,0.004809,0.004587,0.000221,4.6,0.29
brand='Brother',single,0.004948,0.005309,0.000361,7.3,0.29
brand='Pioneer',single,0.004997,0.005618,0.000621,12.43,0.29
brand='Klipsch',single,0.005306,0.005206,0.0001,1.89,0.33
brand='SANOXY',single,0.005324,0.004896,0.000428,8.03,0.29
brand='Fellowes',single,0.005476,0.00634,0.000864,15.77,0.29
brand='Midland',single,0.005551,0.004948,0.000603,10.86,0.25
brand='Terk',single,0.005564,0.005721,0.000157,2.83,0.29
brand='Sangean',single,0.005589,0.006546,0.000956,17.11,0.25
brand='DTOL',single,0.005698,0.005773,7.5e-05,1.32,0.29
brand='Plantronics',single,0.005716,0.005927,0.000212,3.7,0.25
brand='Microsoft',single,0.005754,0.006391,0.000637,11.07,0.29
main_cat='Tools & Home Improvement' AND overall>=5.0,compound,0.005842,0.005721,0.000121,2.07,1.29
main_cat='Tools &amp; Home Improvement' AND overall>=4.0,compound,0.005942,0.006391,0.000449,7.55,7.96
brand='Barnes &amp; Noble',single,0.005945,0.005515,0.00043,7.23,0.25
brand='SanDisk',single,0.006146,0.005515,0.000631,10.27,0.29
main_cat='Cell Phones & Accessories' AND overall>=4.0,compound,0.006167,0.005876,0.000291,4.72,7.58
main_cat='Car Electronics' AND overall>=5.0,compound,0.006406,0.0067,0.000294,4.59,1.33
main_cat='Tools &amp; Home Improvement' AND overall>=3.0,compound,0.006597,0.006958,0.000361,5.47,9.67
brand='Creative',single,0.006674,0.006803,0.000129,1.94,0.29
brand='Garmin',single,0.006757,0.007473,0.000717,10.61,0.33
brand='Cobra',single,0.006777,0.006649,0.000129,1.9,0.29
main_cat='Tools & Home Improvement' AND overall>=4.0,compound,0.006816,0.006958,0.000142,2.08,7.29
main_cat='Cell Phones & Accessories' AND overall>=3.0,compound,0.006976,0.007113,0.000137,1.96,9.21
brand='RCA',single,0.006981,0.00768,0.000699,10.01,0.29
brand='Olympus',single,0.007053,0.006752,0.000301,4.27,0.25
main_cat='Cell Phones &amp; Accessories' AND overall>=4.0,compound,0.007079,0.00804,0.000962,13.58,7.75
brand='Audio-Technica',single,0.007087,0.006597,0.000489,6.9,0.29
main_cat='Tools & Home Improvement' AND overall>=3.0,compound,0.007218,0.007422,0.000204,2.83,9.46
brand='Cyber Acoustics',single,0.007509,0.007783,0.000274,3.64,0.29
brand='Verbatim',single,0.007548,0.007886,0.000338,4.48,0.29
main_cat='Sports & Outdoors' AND overall>=5.0,compound,0.007548,0.008247,0.000699,9.26,1.33
main_cat='Tools &amp; Home Improvement',single,0.007648,0.007731,8.3e-05,1.08,0.29
brand='Bose',single,0.0078,0.007525,0.000275,3.53,0.29
main_cat='Tools & Home Improvement',single,0.007901,0.008247,0.000346,4.38,0.33
brand='Monster',single,0.007919,0.007216,0.000703,8.88,0.29
main_cat='Cell Phones &amp; Accessories' AND overall>=3.0,compound,0.008128,0.009226,0.001098,13.51,9.79
brand='Fujifilm',single,0.008205,0.008195,1e-05,0.12,0.29
main_cat='Car Electronics' AND overall>=4.0,compound,0.008318,0.008814,0.000495,5.95,7.75
main_cat='Office Products' AND overall>=5.0,compound,0.008927,0.008556,0.000371,4.15,1.38
main_cat='Cell Phones & Accessories',single,0.008942,0.008504,0.000438,4.89,0.29
main_cat='Books' AND overall>=5.0,compound,0.008942,0.010875,0.001933,21.62,1.33
main_cat='Car Electronics' AND overall>=3.0,compound,0.009081,0.009484,0.000402,4.43,9.5
brand='Polk Audio',single,0.009133,0.009638,0.000506,5.54,0.29
brand='Memorex',single,0.009377,0.009226,0.000152,1.62,0.29
brand='D-Link',single,0.00997,0.009638,0.000332,3.33,0.29
main_cat='Sports & Outdoors' AND overall>=4.0,compound,0.010233,0.011236,0.001003,9.8,7.42
brand='Kensington',single,0.010267,0.010051,0.000216,2.1,0.29
main_cat='Car Electronics',single,0.010602,0.010875,0.000274,2.58,0.29
brand='TRENDnet',single,0.010632,0.010669,3.7e-05,0.34,0.29
main_cat='Cell Phones &amp; Accessories',single,0.010949,0.0117,0.00075,6.85,0.37
main_cat='Office Products' AND overall>=4.0,compound,0.010949,0.010205,0.000744,6.8,7.33
main_cat='Sports & Outdoors' AND overall>=3.0,compound,0.011418,0.012318,0.0009,7.88,9.58
main_cat='Office Products' AND overall>=3.0,compound,0.011846,0.011236,0.00061,5.15,9.46
main_cat='Books' AND overall>=4.0,compound,0.012166,0.014071,0.001905,15.66,7.88
brand='3M',single,0.012266,0.012473,0.000207,1.69,0.29
brand='Celestron',single,0.012524,0.013401,0.000877,7.0,0.29
main_cat='Office Products',single,0.013135,0.012834,0.000301,2.29,0.33
main_cat='Sports & Outdoors',single,0.0133,0.014741,0.001441,10.84,0.29
main_cat='Books' AND overall>=3.0,compound,0.013328,0.015411,0.002083,15.63,9.83
brand='Logitech',single,0.014006,0.014277,0.000271,1.94,0.29
brand='NETGEAR',single,0.014348,0.014328,2e-05,0.14,0.29
brand='Case Logic',single,0.014493,0.011597,0.002896,19.98,0.33
main_cat='Books',single,0.014555,0.016751,0.002196,15.09,0.33
brand='Bushnell',single,0.016297,0.017782,0.001485,9.11,0.29
brand='Linksys',single,0.018866,0.019276,0.000411,2.18,0.29
brand='Sennheiser',single,0.020136,0.020771,0.000635,3.15,0.29
brand='C2G',single,0.02076,0.019895,0.000865,4.17,0.29
brand='Maxell',single,0.021036,0.020153,0.000883,4.2,0.33
main_cat='Computers' AND overall>=5.0,compound,0.022123,0.021853,0.00027,1.22,1.5
brand='StarTech',single,0.022218,0.021802,0.000416,1.87,0.29
main_cat='Musical Instruments' AND overall>=5.0,compound,0.022515,0.02309,0.000576,2.56,1.5
brand='Hosa',single,0.027274,0.027368,9.4e-05,0.34,0.29
main_cat='Musical Instruments' AND overall>=4.0,compound,0.028509,0.029636,0.001127,3.95,7.46
main_cat='Computers' AND overall>=4.0,compound,0.028511,0.027729,0.000782,2.74,7.62
brand='Koss',single,0.02857,0.028657,8.6e-05,0.3,0.29
main_cat='Musical Instruments' AND overall>=3.0,compound,0.030869,0.032162,0.001293,4.19,9.67
brand='Nikon',single,0.031356,0.029224,0.002132,6.8,0.29
main_cat='Computers' AND overall>=3.0,compound,0.031488,0.030667,0.000821,2.61,9.63
brand='Tripp Lite',single,0.033768,0.033966,0.000197,0.58,0.33
main_cat='Musical Instruments',single,0.034242,0.036336,0.002094,6.12,0.25
brand='Panasonic',single,0.038744,0.037831,0.000913,2.36,0.29
main_cat='Computers',single,0.039162,0.038965,0.000197,0.5,0.29
brand='Belkin',single,0.047606,0.048088,0.000482,1.01,0.29
"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",in_set,0.050111,0.050665,0.000554,1.11,1.21
brand='Tiffen',single,0.050291,0.050974,0.000683,1.36,0.29
verified=false AND overall<=2.0,compound,0.051889,0.052778,0.000889,1.71,4.62
"main_cat IN ('Computers', 'Office Products')",in_set,0.052296,0.051799,0.000498,0.95,1.25
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,0.052461,0.053706,0.001245,2.37,1.17
"main_cat IN ('Computers', 'Books')",in_set,0.053716,0.055716,0.002,3.72,0.92
main_cat='Camera &amp; Photo' AND overall>=5.0,compound,0.053987,0.05319,0.000796,1.48,1.92
brand='Canon',single,0.058808,0.054634,0.004175,7.1,0.29
brand='Sony',single,0.064364,0.064375,1.1e-05,0.02,0.29
main_cat='Home Audio &amp; Theater' AND overall>=5.0,compound,0.066807,0.065354,0.001453,2.17,2.17
main_cat='Camera &amp; Photo' AND overall>=4.0,compound,0.068464,0.068601,0.000137,0.2,7.96
verified=false AND overall<=3.0,compound,0.071283,0.071694,0.00041,0.58,12.21
"main_cat IN ('Computers', 'Musical Instruments')",in_set,0.073404,0.075302,0.001898,2.59,1.38
main_cat='Camera &amp; Photo' AND overall>=3.0,compound,0.073636,0.074219,0.000583,0.79,10.04
main_cat='Camera &amp; Photo',single,0.081807,0.081744,6.3e-05,0.08,0.29
main_cat='Camera & Photo' AND overall>=5.0,compound,0.083462,0.079219,0.004243,5.08,2.29
main_cat='Home Audio &amp; Theater' AND overall>=4.0,compound,0.085995,0.084424,0.001571,1.83,8.21
"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",in_set,0.092409,0.092619,0.00021,0.23,1.42
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.092757,0.093444,0.000687,0.74,1.46
main_cat='Home Audio &amp; Theater' AND overall>=3.0,compound,0.093965,0.091485,0.00248,2.64,10.33
"main_cat IN ('Camera &amp; Photo', 'Office Products')",in_set,0.094942,0.094578,0.000364,0.38,1.5
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.095107,0.096485,0.001378,1.45,1.33
"main_cat IN ('Camera &amp; Photo', 'Books')",in_set,0.096362,0.098495,0.002133,2.21,0.79
verified=true AND overall<=2.0,compound,0.097019,0.099577,0.002558,2.64,4.62
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.103358,0.104319,0.000961,0.93,2.75
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Car Electronics')",in_set,0.105544,0.105453,9e-05,0.09,2.83
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.105708,0.10736,0.001652,1.56,2.67
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.105891,0.106278,0.000386,0.36,3.0
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.106056,0.108185,0.002128,2.01,2.67
"main_cat IN ('Camera &amp; Photo', 'Books', 'Car Electronics')",in_set,0.106963,0.10937,0.002407,2.25,2.29
"main_cat IN ('Camera &amp; Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.107311,0.110195,0.002884,2.69,2.25
main_cat='Camera & Photo' AND overall>=4.0,compound,0.107724,0.101742,0.005981,5.55,8.37
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.108242,0.109319,0.001077,1.0,2.83
"main_cat IN ('Camera &amp; Photo', 'Books', 'Office Products')",in_set,0.109497,0.111329,0.001832,1.67,2.33
"main_cat IN ('Camera &amp; Photo', 'Books', 'Sports & Outdoors')",in_set,0.109661,0.113236,0.003574,3.26,2.13
main_cat='Home Audio &amp; Theater',single,0.109932,0.108855,0.001077,0.98,0.33
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments')",in_set,0.11605,0.118081,0.002031,1.75,1.54
main_cat='Camera & Photo' AND overall>=3.0,compound,0.116578,0.110556,0.006022,5.17,10.37
verified=false AND overall<=4.0,compound,0.119544,0.118081,0.001463,1.22,15.71
"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",in_set,0.120534,0.11973,0.000804,0.67,1.71
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.120881,0.120555,0.000327,0.27,1.79
"main_cat IN ('Camera &amp; Photo', 'Computers')",in_set,0.120969,0.120709,0.00026,0.21,1.87
verified=false AND overall>=5.0,compound,0.122095,0.125606,0.00351,2.88,2.79
"overall IN (2,3)",in_set,0.122933,0.122359,0.000574,0.47,2.38
"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",in_set,0.123067,0.121688,0.001378,1.12,1.79
