filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors')",in_set,0.123232,0.123596,0.000364,0.3,1.71
"main_cat IN ('Home Audio &amp; Theater', 'Books')",in_set,0.124487,0.125606,0.001119,0.9,0.92
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.126651,0.128956,0.002305,1.82,3.21
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.126999,0.12978,0.002781,2.19,3.21
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Office Products')",in_set,0.129184,0.130914,0.00173,1.34,3.33
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.129349,0.132821,0.003472,2.68,2.92
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Books')",in_set,0.130604,0.134831,0.004227,3.24,1.92
main_cat='Camera & Photo',single,0.130617,0.124008,0.006609,5.06,0.29
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.131483,0.13143,5.3e-05,0.04,3.5
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Car Electronics')",in_set,0.131571,0.131584,1.4e-05,0.01,3.5
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.131918,0.132409,0.000491,0.37,3.38
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Car Electronics')",in_set,0.133668,0.132564,0.001105,0.83,3.33
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Car Electronics')",in_set,0.133833,0.134471,0.000638,0.48,3.33
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.134016,0.133388,0.000628,0.47,3.54
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Office Products')",in_set,0.134104,0.133543,0.000561,0.42,3.54
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.134181,0.135295,0.001114,0.83,3.38
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Sports & Outdoors')",in_set,0.134269,0.13545,0.001181,0.88,3.12
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",in_set,0.135088,0.136481,0.001393,1.03,2.58
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.135436,0.137305,0.001869,1.38,2.67
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Books')",in_set,0.135524,0.13746,0.001936,1.43,2.21
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",in_set,0.136366,0.136429,6.3e-05,0.05,3.37
main_cat='Home Audio & Theater' AND overall>=5.0,compound,0.136557,0.136893,0.000336,0.25,3.04
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Office Products')",in_set,0.137621,0.138439,0.000818,0.59,2.67
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Sports & Outdoors')",in_set,0.137786,0.140346,0.00256,1.86,2.58
"main_cat IN ('Camera & Photo', 'Car Electronics')",in_set,0.141219,0.134883,0.006336,4.49,2.13
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories')",in_set,0.141566,0.135708,0.005859,4.14,2.08
"main_cat IN ('Camera & Photo', 'Office Products')",in_set,0.143752,0.136842,0.00691,4.81,2.21
"main_cat IN ('Camera & Photo', 'Sports & Outdoors')",in_set,0.143917,0.138749,0.005168,3.59,1.75
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments')",in_set,0.144174,0.145191,0.001017,0.71,2.04
"main_cat IN ('Camera & Photo', 'Books')",in_set,0.145172,0.140759,0.004413,3.04,0.83
overall<=2.0,range,0.148908,0.152355,0.003447,2.32,2.96
"overall IN (1,2)",in_set,0.148908,0.152355,0.003447,2.32,2.5
"main_cat IN ('Home Audio &amp; Theater', 'Computers')",in_set,0.149094,0.14782,0.001274,0.85,2.17
verified=true AND overall<=3.0,compound,0.150019,0.151634,0.001615,1.08,12.92
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.152168,0.146583,0.005585,3.67,3.46
"main_cat IN ('Camera & Photo', 'Office Products', 'Car Electronics')",in_set,0.154353,0.147717,0.006636,4.3,3.58
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.154518,0.149624,0.004894,3.17,3.5
"main_cat IN ('Camera & Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.154701,0.148541,0.00616,3.98,3.58
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Car Electronics')",in_set,0.154776,0.156066,0.001291,0.83,3.92
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.154866,0.150448,0.004418,2.85,3.5
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.155124,0.156891,0.001767,1.14,3.96
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Musical Instruments')",in_set,0.155211,0.157046,0.001834,1.18,3.38
"main_cat IN ('Camera & Photo', 'Books', 'Car Electronics')",in_set,0.155773,0.151634,0.004139,2.66,2.67
"main_cat IN ('Camera & Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.156121,0.152459,0.003662,2.35,2.67
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.157051,0.151582,0.005469,3.48,3.67
main_cat='All Electronics' AND overall>=5.0,compound,0.157278,0.158437,0.001159,0.74,3.46
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Office Products')",in_set,0.157309,0.158025,0.000716,0.46,4.0
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.157474,0.159932,0.002458,1.56,3.92
"main_cat IN ('Camera & Photo', 'Books', 'Office Products')",in_set,0.158306,0.153592,0.004714,2.98,2.83
"main_cat IN ('Camera & Photo', 'Books', 'Sports & Outdoors')",in_set,0.158471,0.155499,0.002972,1.88,2.62
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Books')",in_set,0.158729,0.161942,0.003213,2.02,2.5
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Car Electronics')",in_set,0.159695,0.158695,0.001,0.63,4.08
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.160043,0.15952,0.000523,0.33,4.21
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Office Products')",in_set,0.162228,0.160654,0.001575,0.97,4.17
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Sports & Outdoors')",in_set,0.162393,0.162561,0.000167,0.1,4.0
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Books')",in_set,0.163648,0.164571,0.000922,0.56,2.67
"main_cat IN ('Camera & Photo', 'Musical Instruments')",in_set,0.164859,0.160344,0.004515,2.74,2.08
"main_cat IN ('Camera & Photo', 'Computers')",in_set,0.169779,0.162973,0.006806,4.01,2.13
verified=false AND overall>=4.0,compound,0.170356,0.171993,0.001637,0.96,9.5
"overall IN (1,3)",in_set,0.170763,0.171941,0.001178,0.69,3.0
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.175461,0.171219,0.004241,2.42,4.08
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.175809,0.172044,0.003765,2.14,3.96
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Office Products')",in_set,0.177994,0.173178,0.004816,2.71,4.17
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.178159,0.175085,0.003074,1.73,4.0
main_cat='Home Audio & Theater' AND overall>=4.0,compound,0.178716,0.179827,0.001111,0.62,10.04
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Books')",in_set,0.179414,0.177095,0.002319,1.29,2.42
"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",in_set,0.18038,0.173848,0.006532,3.62,4.29
"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.180728,0.174673,0.006055,3.35,4.29
"main_cat IN ('Camera & Photo', 'Computers', 'Office Products')",in_set,0.182913,0.175807,0.007107,3.89,4.42
"main_cat IN ('Camera & Photo', 'Computers', 'Sports & Outdoors')",in_set,0.183078,0.177714,0.005365,2.93,4.21
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Musical Instruments')",in_set,0.183336,0.184156,0.00082,0.45,4.42
"main_cat IN ('Camera & Photo', 'Computers', 'Books')",in_set,0.184333,0.179724,0.00461,2.5,2.58
verified=false AND overall>=3.0,compound,0.18975,0.190908,0.001158,0.61,11.79
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo')",in_set,0.191739,0.190599,0.00114,0.59,2.62
main_cat='Home Audio & Theater' AND overall>=3.0,compound,0.196324,0.19632,4e-06,0.0,11.92
main_cat='All Electronics' AND overall>=4.0,compound,0.202083,0.202917,0.000834,0.41,10.04
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.202341,0.201474,0.000867,0.43,4.92
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.202689,0.202299,0.00039,0.19,5.0
"main_cat IN ('Camera & Photo', 'Computers', 'Musical Instruments')",in_set,0.204021,0.199309,0.004712,2.31,4.42
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Office Products')",in_set,0.204874,0.203433,0.001441,0.7,5.08
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.205039,0.20534,0.000301,0.15,4.67
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Books')",in_set,0.206294,0.20735,0.001056,0.51,2.96
verified=false AND overall>=2.0,compound,0.206296,0.208432,0.002136,1.04,13.37
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",in_set,0.212424,0.205752,0.006672,3.14,3.17
overall<=3.0,range,0.221302,0.223327,0.002026,0.92,10.79
"overall IN (1,2,3)",in_set,0.221302,0.223327,0.002026,0.92,10.0
main_cat='All Electronics' AND overall>=3.0,compound,0.221585,0.22142,0.000165,0.07,9.71
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.223026,0.216627,0.006399,2.87,11.04
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.223374,0.217452,0.005922,2.65,10.96
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Office Products')",in_set,0.225559,0.218586,0.006973,3.09,10.96
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.225724,0.220493,0.005231,2.32,11.04
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.225982,0.226935,0.000954,0.42,10.79
"overall IN (2,4)",in_set,0.226317,0.227245,0.000928,0.41,8.17
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Books')",in_set,0.226979,0.222503,0.004476,1.97,11.0
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",in_set,0.230901,0.229564,0.001337,0.58,11.71
main_cat='Home Audio & Theater',single,0.231638,0.231059,0.000579,0.25,0.29
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater')",in_set,0.240549,0.232863,0.007687,3.2,8.75
verified=false AND overall<=5.0,compound,0.241639,0.243686,0.002047,0.85,14.38
verified=false,single,0.241639,0.243686,0.002047,0.85,0.29
"main_cat IN ('Home Audio & Theater', 'Car Electronics')",in_set,0.24224,0.241934,0.000306,0.13,1.04
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories')",in_set,0.242587,0.242758,0.000171,0.07,1.04
"main_cat IN ('Home Audio & Theater', 'Office Products')",in_set,0.244773,0.243892,0.00088,0.36,1.04
"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors')",in_set,0.244938,0.245799,0.000862,0.35,1.13
"main_cat IN ('Home Audio & Theater', 'Books')",in_set,0.246193,0.24781,0.001617,0.66,1.21
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.246667,0.242088,0.004578,1.86,11.75
"overall IN (3,4)",in_set,0.248172,0.24683,0.001341,0.54,8.75
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",in_set,0.251151,0.243738,0.007413,2.95,9.29
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.251498,0.244562,0.006936,2.76,9.29
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Computers')",in_set,0.251586,0.244717,0.006869,2.73,11.92
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.253189,0.253634,0.000445,0.18,1.5
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Office Products')",in_set,0.253684,0.245696,0.007987,3.15,9.37
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Sports & Outdoors')",in_set,0.253849,0.247603,0.006245,2.46,9.42
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Books')",in_set,0.255104,0.249613,0.00549,2.15,9.5
