filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
main_cat='Automotive',single,0.00117,0.001031,0.000139,11.89,0.29
"main_cat='Arts, Crafts & Sewing'",single,0.001368,0.001392,2.3e-05,1.7,0.29
main_cat='Amazon Home',single,0.001438,0.001288,0.000149,10.39,0.29
main_cat='Portable Audio &amp; Accessories',single,0.001453,0.00134,0.000113,7.8,0.33
main_cat='Health & Personal Care',single,0.00166,0.001572,8.8e-05,5.28,0.29
brand='Allsop',single,0.002113,0.001881,0.000232,10.97,0.25
brand='Gam3Gear',single,0.002126,0.001804,0.000322,15.15,0.29
brand='C2G/Cables To Go',single,0.002162,0.002397,0.000235,10.85,0.29
brand='Domke',single,0.002247,0.002397,0.00015,6.65,0.25
brand='JBL',single,0.00226,0.0025,0.00024,10.61,0.25
brand='APC',single,0.002306,0.002216,9e-05,3.91,0.29
brand='Apple',single,0.002309,0.002268,4.1e-05,1.78,0.29
brand='Mighty Bright',single,0.002412,0.00201,0.000402,16.66,0.25
brand='Polaroid',single,0.002466,0.002294,0.000173,7.0,0.29
brand='Epartsdom',single,0.002474,0.002422,5.1e-05,2.08,0.29
brand='Gardner Bender',single,0.002538,0.002422,0.000116,4.57,0.29
brand='OP/TECH USA',single,0.002559,0.002448,0.000111,4.33,0.25
brand='Acoustic Research',single,0.002621,0.002319,0.000301,11.5,0.29
brand='Philips',single,0.002811,0.00268,0.000131,4.67,0.29
brand='Tivoli Audio',single,0.002814,0.002886,7.2e-05,2.57,0.25
brand='Wiremold',single,0.002866,0.003273,0.000407,14.21,0.29
brand='National Hardware',single,0.002961,0.002629,0.000332,11.23,0.25
brand='Uniden',single,0.002966,0.002783,0.000183,6.17,0.25
brand='AVerMedia',single,0.003012,0.003299,0.000286,9.5,0.29
brand='Rio',single,0.003036,0.002989,4.6e-05,1.53,0.25
brand='JLAB',single,0.003064,0.003041,2.3e-05,0.75,0.29
brand='Adesso',single,0.003213,0.003505,0.000291,9.06,0.29
brand='Targus',single,0.003347,0.003144,0.000204,6.08,0.25
brand='Green Leaf',single,0.003407,0.003299,0.000108,3.18,0.29
brand='Motorola',single,0.003595,0.003788,0.000193,5.38,0.29
brand='VideoSecu',single,0.003688,0.003479,0.000209,5.66,0.29
brand='Rolodex',single,0.003878,0.003608,0.000271,6.97,0.29
