phase,n_docs,l_max_ms,n_warmup,frozen_step,theta_star,theta_empirical,bm_l_norm_at_theta,cbo_reward,pf_reward,bm_reward,oracle_gap,cbo_vs_post,cbo_sla
1,200000,100.0,5000,5001,0.29,28.76,0.5675,0.7643,0.6233,0.4589,0.0811,0.141,0.8588
2,335000,167.5,8375,8790,0.3,24.58,0.5777,0.7535,0.6186,0.4708,0.0928,0.1349,0.8612
3,500000,250.0,12500,12780,0.23,20.08,0.6399,0.7639,0.641,0.427,0.0868,0.1229,0.8382
4,671750,335.9,16793,17044,0.33,17.51,0.4343,0.6765,0.6185,0.3313,0.1105,0.058,0.8718
