filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,39.3414,30-40%,3.1257,5.112,0.8825,0.76,0.7528,0.8209,0.0681,0.76,219.3601,799.6815,0.999,0.99,0.2783,3.1257,5.112,0.8825,0.76,0.7528
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,62.1084,50-90%,23.9733,62.8584,0.981,0.885,0.8162,0.817,0.0008,0.885,423.2513,1818.0923,0.999,0.995,0.0154,23.9733,62.8584,0.981,0.885,0.8162
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,64.4031,50-90%,25.597,52.9395,0.987,0.895,0.817,0.8225,0.0055,0.89,498.4671,1652.4518,0.999,0.995,0.0045,25.597,52.759,0.987,0.895,0.8214
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,62.2403,50-90%,14.0444,30.9873,0.966,0.81,0.7681,0.7732,0.0051,0.805,412.9252,1516.7628,0.9975,0.985,0.0124,13.8749,30.4518,0.966,0.81,0.773
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,55.5293,50-90%,3.7723,8.3063,0.965,0.805,0.7858,0.8121,0.0262,0.795,321.3871,861.73,0.9995,0.995,0.08,3.7723,8.0046,0.965,0.805,0.7956
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,55.3974,50-90%,3.104,5.4352,0.973,0.845,0.8369,0.8493,0.0124,0.845,300.706,623.098,1.0,1.0,0.1036,3.104,5.4352,0.973,0.845,0.8369
"main_cat IN ('Computers', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,53.2345,50-90%,3.3267,5.7757,0.9165,0.72,0.7093,0.7377,0.0283,0.715,306.3679,421.5098,0.9995,0.995,0.1072,3.3242,5.541,0.9165,0.72,0.7129
verified=false,single,100.0,50-90%,57.0302,145.8204,0.989,0.93,0.7441,0.7441,0.0,0.925,730.694,2558.6534,0.997,0.99,0.0,57.0302,145.8204,0.989,0.93,0.7441
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,50.7725,50-90%,5.711,51.7823,0.962,0.795,0.7646,0.7966,0.032,0.795,285.7946,472.7232,0.999,0.995,0.1445,5.711,51.7823,0.962,0.795,0.7646
"main_cat IN ('Computers', 'Camera & Photo', 'Car Electronics')",in_set,50.6406,50-90%,3.4799,5.6117,0.955,0.765,0.7532,0.7886,0.0354,0.76,282.5641,610.266,0.9985,0.99,0.1416,3.4799,5.6083,0.955,0.765,0.7573
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,48.9103,40-50%,2.9278,4.7903,0.962,0.795,0.7807,0.8376,0.0569,0.785,244.0612,361.9156,0.999,0.995,0.2317,2.9082,4.7701,0.962,0.795,0.7879
"main_cat IN ('Computers', 'Camera & Photo', 'Sports & Outdoors')",in_set,48.7784,40-50%,3.5302,5.674,0.9515,0.765,0.7474,0.7812,0.0337,0.755,291.3681,688.3954,0.999,0.995,0.1239,3.5126,5.5688,0.9515,0.765,0.757
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,48.7224,40-50%,3.3896,5.1235,0.96,0.785,0.7771,0.8074,0.0303,0.785,275.4605,502.2947,0.9985,0.99,0.1588,3.3896,5.1235,0.96,0.785,0.7771
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,48.6269,40-50%,3.4529,5.3689,0.962,0.785,0.7724,0.8014,0.0289,0.78,285.4634,517.0886,0.999,0.995,0.138,3.4529,5.2624,0.962,0.785,0.7767
"main_cat IN ('Computers', 'Camera & Photo', 'Office Products')",in_set,48.5905,40-50%,2.9638,5.2093,0.9355,0.74,0.7223,0.7854,0.0631,0.73,241.1446,437.4898,0.998,0.985,0.2317,2.9515,5.0399,0.9345,0.735,0.7286
"main_cat IN ('Computers', 'Camera & Photo', 'Tools & Home Improvement')",in_set,48.495,40-50%,2.6059,4.09,0.9325,0.73,0.7176,0.7913,0.0737,0.725,233.7225,291.4539,0.9985,0.99,0.2713,2.5818,3.943,0.932,0.725,0.7195
