filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Car Electronics',single,3.162,0-10%,15.9618,20.0501,0.996,0.995,0.9456,0.953,0.0074,0.93,15.9618,20.0501,1.0,1.0,0.9504,1.9192,12.3171,0.227,0.065,0.0644
main_cat='Cell Phones & Accessories',single,7.9189,0-10%,42.616,85.5019,0.9945,0.98,0.8226,0.869,0.0465,0.71,42.691,85.5019,0.998,0.985,0.8269,2.2546,4.5874,0.576,0.285,0.2831
"main_cat IN ('Cell Phones & Accessories', 'Office Products')",in_set,9.0309,0-10%,60.6223,136.3352,0.9995,0.995,0.7786,0.8559,0.0773,0.675,60.6223,136.3352,0.9995,0.995,0.7786,3.366,5.3064,0.662,0.325,0.3217
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Portable Audio & Accessories')",in_set,11.9507,10-20%,95.5906,408.2843,0.997,0.98,0.6311,0.7389,0.1077,0.67,95.5906,408.2843,0.997,0.98,0.6311,3.8202,6.3639,0.627,0.33,0.3263
main_cat='Home Audio & Theater',single,14.6298,10-20%,101.0341,157.7053,0.996,0.98,0.6607,0.7653,0.1046,0.67,101.0341,157.7053,0.996,0.98,0.6607,3.2746,5.1482,0.593,0.33,0.3265
"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors')",in_set,15.9297,10-20%,107.1937,199.6743,0.9955,0.97,0.6287,0.7619,0.1333,0.61,107.1937,199.6743,0.9965,0.975,0.6324,3.3182,4.9678,0.6695,0.385,0.3811
"main_cat IN ('All Electronics', 'Office Products')",in_set,18.0366,10-20%,124.9381,300.1031,0.992,0.975,0.5643,0.8281,0.2638,0.345,125.741,300.1031,0.995,0.985,0.5645,3.2712,5.5553,0.925,0.655,0.6486
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Tools & Home Improvement')",in_set,20.9712,20-30%,167.1834,529.0656,0.9995,0.995,0.4317,0.6316,0.1999,0.635,167.1834,529.0656,0.9995,0.995,0.4317,3.9441,5.8364,0.6195,0.365,0.3609
"main_cat IN ('Home Audio & Theater', 'Cell Phones & Accessories', 'GPS & Navigation')",in_set,23.4178,20-30%,154.0298,427.967,0.9965,0.98,0.4629,0.7492,0.2862,0.43,154.0552,427.967,0.999,0.99,0.4685,3.5126,5.3708,0.7855,0.56,0.5543
"main_cat IN ('All Electronics', 'Cell Phones & Accessories')",in_set,24.8435,20-30%,149.4498,350.7089,0.996,0.99,0.4971,0.8513,0.3543,0.28,149.5408,350.7089,0.996,0.99,0.493,3.0173,5.0278,0.941,0.725,0.7182
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Sports & Outdoors')",in_set,26.1434,20-30%,169.3298,594.9097,0.996,0.99,0.4332,0.832,0.3988,0.275,169.3298,594.9097,0.996,0.99,0.4289,3.3158,5.2903,0.9425,0.735,0.7274
main_cat='Computers',single,30.6858,30-40%,229.2547,874.9875,0.995,0.99,0.2695,0.5837,0.3142,0.53,230.1681,874.9875,0.999,0.995,0.2684,8.5649,34.2096,0.771,0.47,0.4523
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,31.9857,30-40%,192.6018,395.2399,0.9985,0.99,0.3749,0.7172,0.3423,0.455,192.6235,395.2399,0.9985,0.99,0.3712,3.266,5.3721,0.8295,0.55,0.5447
"main_cat IN ('Computers', 'Car Electronics')",in_set,33.8479,30-40%,3.0884,5.2193,0.812,0.535,0.5272,0.7056,0.1784,0.535,189.9917,409.6207,0.999,0.995,0.3911,3.0884,5.1585,0.8105,0.53,0.5253
