filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Cell Phones & Accessories',single,5.569,0-10%,8.9391,11.4304,0.993,0.99,0.8973,0.9146,0.0174,0.84,8.9391,11.4304,0.995,0.995,0.9019,0.8774,5.8164,0.463,0.16,0.1581
"main_cat IN ('Cell Phones & Accessories', 'Sports & Outdoors')",in_set,6.8415,0-10%,10.9431,16.3859,0.9935,0.985,0.8698,0.8968,0.027,0.795,10.9456,16.3859,0.9945,0.99,0.8742,0.7951,2.4506,0.528,0.2,0.1981
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics')",in_set,9.1935,0-10%,13.8362,16.495,0.995,0.995,0.8532,0.8865,0.0333,0.765,13.8456,16.495,0.995,0.995,0.8525,0.6641,1.2577,0.5505,0.24,0.2384
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,10.466,10-20%,15.08,17.4479,0.995,0.995,0.8408,0.8822,0.0414,0.725,15.08,17.4479,0.995,0.995,0.8408,0.5982,0.7615,0.5965,0.275,0.2736
main_cat='Computers',single,14.593,10-20%,20.6021,23.4334,0.995,0.995,0.7833,0.8737,0.0903,0.57,20.6042,23.4334,1.0,1.0,0.7873,0.5448,0.782,0.71,0.425,0.423
"main_cat IN ('Computers', 'Automotive', 'Musical Instruments')",in_set,15.984,10-20%,22.6403,25.9173,1.0,1.0,0.7672,0.8776,0.1103,0.515,22.6403,25.9173,1.0,1.0,0.7672,0.5993,0.9615,0.7915,0.485,0.4824
"main_cat IN ('Computers', 'Car Electronics')",in_set,18.2175,10-20%,25.4032,26.6994,0.9995,0.995,0.7387,0.865,0.1262,0.505,25.4032,26.6994,1.0,1.0,0.7425,0.515,0.7852,0.8,0.49,0.4875
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Portable Audio & Accessories')",in_set,21.1115,20-30%,29.1625,34.7903,0.9945,0.99,0.6871,0.8546,0.1676,0.44,29.1687,34.7903,0.995,0.995,0.6906,0.4921,1.8019,0.83,0.555,0.5512
"main_cat IN ('Home Audio & Theater', 'Car Electronics', 'Office Products')",in_set,22.942,20-30%,34.4764,48.7957,0.997,0.99,0.6117,0.7796,0.1679,0.56,34.4764,48.7957,0.999,0.995,0.615,0.9779,1.9573,0.783,0.435,0.4307
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Automotive')",in_set,24.966,20-30%,35.8736,43.8107,0.9975,0.995,0.6271,0.7595,0.1324,0.64,35.8736,43.8107,1.0,1.0,0.6303,0.572,0.7654,0.671,0.355,0.3533
"main_cat IN ('Camera & Photo', 'Cell Phones & Accessories', 'Automotive')",in_set,26.9105,20-30%,38.5619,47.7987,0.988,0.985,0.5955,0.7588,0.1633,0.585,38.5708,47.8833,0.995,0.995,0.6011,0.5784,0.7725,0.723,0.405,0.4029
"main_cat IN ('All Electronics', 'Tools & Home Improvement', 'Musical Instruments')",in_set,30.024,30-40%,0.5984,1.9483,0.949,0.675,0.6657,0.8384,0.1726,0.67,43.2461,70.6848,1.0,1.0,0.5302,0.5926,1.8879,0.9485,0.67,0.6649
"main_cat IN ('All Electronics', 'Car Electronics')",in_set,31.8055,30-40%,0.9837,3.01,0.954,0.725,0.7095,0.8513,0.1418,0.715,47.1356,71.4455,1.0,1.0,0.4818,0.9758,2.8465,0.954,0.725,0.7166
"main_cat IN ('Home Audio & Theater', 'Computers', 'Tools & Home Improvement')",in_set,34.0785,30-40%,0.5486,0.9514,0.908,0.645,0.6365,0.8084,0.1719,0.64,49.2166,60.7936,0.999,0.995,0.4855,0.548,0.9177,0.9055,0.64,0.6365
"main_cat IN ('Camera & Photo', 'Home Audio & Theater')",in_set,38.971,30-40%,1.2111,3.513,0.849,0.61,0.5954,0.7467,0.1513,0.6,58.5512,99.8767,0.999,0.995,0.3672,1.2022,3.2781,0.849,0.61,0.601
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Computers')",in_set,61.1055,50-90%,1.2655,2.6839,0.9575,0.76,0.7443,0.7741,0.0298,0.76,85.3134,131.8227,0.999,0.995,0.1237,1.2655,2.6486,0.957,0.755,0.7443
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,67.152,50-90%,0.8135,1.2698,0.9765,0.83,0.8186,0.8363,0.0177,0.825,89.2744,120.0955,0.999,0.995,0.0848,0.8089,1.2381,0.9765,0.83,0.8231
"main_cat IN ('All Electronics', 'Camera & Photo', 'Computers')",in_set,63.4135,50-90%,1.2539,3.2012,0.976,0.83,0.8176,0.8345,0.0169,0.83,88.8688,144.8777,1.0,1.0,0.0875,1.2539,3.2012,0.976,0.83,0.8176
"main_cat IN ('All Electronics', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,54.3895,50-90%,0.7269,2.12,0.9795,0.845,0.8336,0.8666,0.033,0.845,73.6621,102.4625,0.995,0.995,0.2274,0.7269,2.0766,0.979,0.84,0.8322
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Computers')",in_set,53.564,50-90%,0.4651,0.5951,0.9665,0.79,0.7863,0.8422,0.0559,0.79,71.9196,74.3085,0.999,0.995,0.2759,0.4651,0.5951,0.9665,0.79,0.7863
"main_cat IN ('All Electronics', 'Camera & Photo', 'Car Electronics')",in_set,52.445,50-90%,0.4682,0.5984,0.9785,0.83,0.8261,0.8755,0.0493,0.83,70.6667,73.6339,1.0,1.0,0.2872,0.4682,0.5984,0.9785,0.83,0.8261
verified=false,single,100.0,50-90%,0.6123,2.6533,0.9805,0.865,0.857,0.857,0.0,0.865,127.0523,152.6448,0.994,0.99,0.0,0.6123,2.6533,0.9805,0.865,0.857
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,52.0815,50-90%,0.4543,0.6702,0.957,0.755,0.7377,0.8144,0.0767,0.745,69.7196,72.694,0.994,0.99,0.2959,0.4535,0.6369,0.956,0.745,0.7416
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Car Electronics')",in_set,50.137,50-90%,0.5404,1.0165,0.958,0.765,0.7572,0.8329,0.0757,0.76,67.5035,79.7954,0.999,0.995,0.3094,0.5397,1.0134,0.958,0.765,0.7605
"main_cat IN ('All Electronics', 'Camera & Photo', 'Sports & Outdoors')",in_set,50.093,50-90%,0.4521,0.6479,0.975,0.825,0.8145,0.8758,0.0613,0.815,67.5102,71.587,1.0,1.0,0.3189,0.4505,0.633,0.975,0.825,0.8212
"main_cat IN ('All Electronics', 'Camera & Photo', 'Tools & Home Improvement')",in_set,49.9745,40-50%,0.4356,0.578,0.9725,0.805,0.8014,0.8651,0.0637,0.805,67.079,69.8644,1.0,1.0,0.3231,0.4356,0.578,0.9725,0.805,0.8014
"main_cat IN ('All Electronics', 'Camera & Photo', 'Office Products')",in_set,49.8065,40-50%,0.4387,0.5763,0.9745,0.825,0.8213,0.8773,0.056,0.825,67.1033,69.6941,1.0,1.0,0.3207,0.4387,0.5763,0.9745,0.825,0.8213
"main_cat IN ('All Electronics', 'Camera & Photo', 'Portable Audio & Accessories')",in_set,49.77,40-50%,0.5819,2.2493,0.9755,0.83,0.8222,0.8763,0.0541,0.83,67.3928,85.3992,1.0,1.0,0.3037,0.5819,2.2493,0.9755,0.83,0.8222
"main_cat IN ('All Electronics', 'Camera & Photo', 'Automotive')",in_set,49.5225,40-50%,0.4546,0.6143,0.9775,0.825,0.8179,0.8764,0.0585,0.82,66.8428,69.95,1.0,1.0,0.3242,0.4546,0.6124,0.9775,0.825,0.8212
"main_cat IN ('All Electronics', 'Camera & Photo', 'Musical Instruments')",in_set,49.5095,40-50%,0.5029,1.2177,0.974,0.815,0.7951,0.8657,0.0706,0.8,66.6535,76.13,1.0,1.0,0.3173,0.5021,1.0726,0.9735,0.81,0.8052
