filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Car Electronics',single,3.1282,0-10%,11.8005,12.7456,0.997,0.995,0.9475,0.9543,0.0069,0.94,11.8005,12.7456,1.0,1.0,0.9522,1.6258,4.3515,0.239,0.055,0.0545
main_cat='Cell Phones & Accessories',single,6.9872,0-10%,25.8963,27.4459,0.996,0.98,0.8768,0.8981,0.0214,0.795,25.8963,27.4459,0.996,0.98,0.8768,0.6309,0.8079,0.5225,0.205,0.2046
"main_cat IN ('Cell Phones & Accessories', 'Sports & Outdoors')",in_set,8.2482,0-10%,30.2118,33.261,0.996,0.98,0.8597,0.8912,0.0315,0.775,30.2145,33.261,0.9975,0.985,0.8635,0.659,0.8879,0.569,0.225,0.2245
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,11.3764,10-20%,43.4858,55.7573,0.992,0.98,0.7979,0.8552,0.0572,0.735,43.4858,55.7573,0.9975,0.99,0.8062,1.2783,2.7382,0.6115,0.255,0.2535
main_cat='Home Audio & Theater',single,14.8692,10-20%,56.0007,63.5278,1.0,1.0,0.7702,0.8422,0.072,0.68,56.0055,63.5278,1.0,1.0,0.769,0.6207,0.8331,0.65,0.325,0.3243
"main_cat IN ('Home Audio & Theater', 'Tools & Home Improvement')",in_set,15.9252,10-20%,59.5754,76.8927,0.998,0.995,0.7445,0.8329,0.0884,0.65,59.5945,76.8927,1.0,1.0,0.7483,1.1761,2.3184,0.698,0.345,0.3432
"main_cat IN ('Home Audio & Theater', 'Car Electronics')",in_set,17.9974,10-20%,66.6804,77.625,0.998,0.995,0.7205,0.8224,0.1019,0.63,66.6804,77.625,1.0,1.0,0.7242,0.7495,1.325,0.671,0.365,0.3638
"main_cat IN ('All Electronics', 'Tools & Home Improvement', 'Office Products')",in_set,20.9798,20-30%,92.4843,227.9947,1.0,1.0,0.5541,0.8583,0.3041,0.29,93.3049,227.9947,1.0,1.0,0.5518,1.7374,4.8125,0.9315,0.715,0.7086
"main_cat IN ('All Electronics', 'Car Electronics', 'Portable Audio & Accessories')",in_set,23.0258,20-30%,90.0181,118.1782,0.9995,0.995,0.6152,0.8828,0.2676,0.285,90.0181,118.1782,1.0,1.0,0.6184,1.9345,3.7162,0.924,0.71,0.7042
"main_cat IN ('Home Audio & Theater', 'Cell Phones & Accessories', 'Car Electronics')",in_set,24.9846,20-30%,2.8455,4.6485,0.7815,0.455,0.4496,0.7193,0.2697,0.455,114.5886,179.9988,0.997,0.985,0.5032,2.8455,4.6485,0.7815,0.455,0.4496
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Tools & Home Improvement')",in_set,26.9224,20-30%,2.4779,4.394,0.945,0.78,0.7697,0.8794,0.1098,0.775,113.9238,146.4655,0.999,0.995,0.525,2.4749,4.3267,0.945,0.78,0.772
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,29.8334,20-30%,2.4326,3.9815,0.8345,0.59,0.5824,0.7895,0.2071,0.59,119.6306,147.3747,0.9995,0.995,0.5096,2.4326,3.8066,0.8335,0.585,0.5796
"main_cat IN ('Computers', 'Car Electronics')",in_set,31.7006,30-40%,3.023,4.7598,0.827,0.6,0.5882,0.7511,0.1629,0.6,135.543,227.837,0.9995,0.995,0.4137,3.0165,4.7265,0.8255,0.59,0.5832
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Sports & Outdoors')",in_set,33.8064,30-40%,2.6865,4.7295,0.8105,0.56,0.5456,0.7454,0.1998,0.55,133.6364,221.111,1.0,1.0,0.4366,2.6865,4.5024,0.807,0.555,0.5488
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Car Electronics')",in_set,38.6878,30-40%,1.4173,3.2736,0.878,0.68,0.6757,0.8081,0.1324,0.68,136.8604,176.8809,0.9975,0.99,0.4184,1.4173,3.2736,0.878,0.68,0.6757
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,61.1178,50-90%,3.2339,4.9799,0.973,0.865,0.8536,0.8571,0.0035,0.865,257.7605,676.5362,1.0,1.0,0.0357,3.2339,4.9799,0.973,0.865,0.8536
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,65.1278,50-90%,2.7743,4.4494,0.9815,0.91,0.8998,0.9042,0.0043,0.91,240.1833,311.9059,1.0,1.0,0.0475,2.7743,4.4494,0.9815,0.91,0.8998
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,62.3208,50-90%,2.6526,4.0792,0.9615,0.84,0.8224,0.8408,0.0184,0.835,226.4063,277.9913,1.0,1.0,0.0827,2.6526,4.0183,0.961,0.835,0.8261
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,54.4388,50-90%,2.5467,4.4977,0.957,0.835,0.8261,0.8505,0.0244,0.835,206.1865,313.7791,0.999,0.995,0.1507,2.5467,4.4977,0.957,0.835,0.8261
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,53.2358,50-90%,2.6039,4.3361,0.957,0.83,0.8177,0.8478,0.0301,0.825,194.5302,252.8013,0.998,0.99,0.1953,2.6039,4.191,0.957,0.83,0.8216
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,51.4246,50-90%,2.0889,3.7354,0.964,0.83,0.8151,0.8623,0.0473,0.825,177.9679,238.2536,1.0,1.0,0.2513,2.0745,3.5228,0.963,0.825,0.8177
verified=false,single,100.0,50-90%,3.6087,11.8396,0.9895,0.945,0.9275,0.9275,0.0,0.945,365.2224,1521.1432,0.9985,0.995,0.0,3.6087,11.8396,0.9895,0.945,0.9275
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,50.5798,50-90%,1.0163,2.2757,0.953,0.825,0.818,0.8759,0.0578,0.82,171.5285,177.1135,1.0,1.0,0.3102,1.0163,2.2757,0.953,0.825,0.8214
"main_cat IN ('Computers', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,50.4288,50-90%,0.6445,1.1854,0.917,0.76,0.7581,0.8316,0.0735,0.76,170.1859,175.0216,0.999,0.995,0.3126,0.6445,1.1854,0.917,0.76,0.7581
"main_cat IN ('Computers', 'Camera & Photo', 'Car Electronics')",in_set,49.3768,40-50%,1.0385,1.8204,0.9485,0.815,0.8081,0.8656,0.0575,0.81,168.3765,209.1386,0.9995,0.995,0.3013,1.0298,1.8024,0.9485,0.815,0.8116
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,48.7126,40-50%,1.4898,3.7894,0.9545,0.825,0.8163,0.8686,0.0523,0.82,170.0186,242.911,1.0,1.0,0.2868,1.4676,3.748,0.9545,0.825,0.8196
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,48.5076,40-50%,1.3546,2.7738,0.9555,0.83,0.825,0.8743,0.0493,0.83,168.5072,205.4171,1.0,1.0,0.2968,1.3546,2.7738,0.9555,0.83,0.825
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,48.4962,40-50%,1.5082,2.9849,0.952,0.815,0.8098,0.8684,0.0586,0.815,167.5013,204.5678,1.0,1.0,0.3032,1.5082,2.9849,0.952,0.815,0.8098
"main_cat IN ('Computers', 'All Electronics', 'Portable Audio & Accessories')",in_set,48.47,40-50%,1.4893,2.7952,0.952,0.82,0.8149,0.8662,0.0513,0.82,169.2642,213.1493,1.0,1.0,0.2918,1.4893,2.7952,0.952,0.82,0.8149
"main_cat IN ('Computers', 'All Electronics', 'Automotive')",in_set,48.2524,40-50%,2.5406,4.1123,0.952,0.815,0.8066,0.8507,0.0441,0.815,185.7986,279.7493,1.0,1.0,0.2272,2.5406,4.1123,0.952,0.815,0.8066
