step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.83,0.5547,0.901,0.9989,0.932,0.9944,0.9161,0.9977
200,False,,0.75,0.5167,0.6694,0.9038,0.8641,0.9927,0.8652,0.9973
300,False,0.16999999999999998,0.87,0.6473,0.6425,0.9038,0.8641,0.9889,0.8164,0.9969
400,False,0.35000000000000003,0.77,0.6134,0.6388,0.8372,0.6064,0.9013,0.6997,0.9959
500,False,0.35000000000000003,0.86,0.7276,0.6388,0.7492,0.6064,0.9013,0.6711,0.9948
600,False,0.35000000000000003,0.79,0.6373,0.6388,0.7282,0.5988,0.7009,0.6711,0.9942
700,False,0.35000000000000003,0.8,0.6877,0.6216,0.6384,0.5988,0.6385,0.6711,0.9186
800,False,0.35000000000000003,0.75,0.6433,0.6216,0.5881,0.5823,0.5882,0.6711,0.9295
900,False,0.35000000000000003,0.83,0.6825,0.6183,0.5425,0.5378,0.543,0.6711,0.9431
1000,False,0.35000000000000003,0.72,0.5852,0.5202,0.5023,0.4995,0.5921,0.6711,0.7579
1100,False,0.26999999999999996,0.81,0.6872,0.4893,0.4322,0.4849,0.5386,0.6711,0.8058
1200,False,0.35000000000000003,0.79,0.6772,0.503,0.4322,0.46,0.58,0.6711,0.8315
1300,False,0.35000000000000003,0.82,0.6948,0.51,0.4322,0.46,0.566,0.6231,0.7833
1400,False,0.35000000000000003,0.8,0.667,0.5192,0.4322,0.46,0.5587,0.6231,0.798
1500,False,0.35000000000000003,0.8,0.6872,0.4849,0.4322,0.46,0.5196,0.6231,0.7784
1600,False,0.35000000000000003,0.88,0.7305,0.5012,0.4037,0.46,0.5762,0.6231,0.8001
1700,False,0.35000000000000003,0.84,0.72,0.5086,0.4037,0.46,0.5472,0.6231,0.8239
1800,False,0.35000000000000003,0.83,0.7185,0.4905,0.4037,0.4316,0.4232,0.6231,0.8625
1900,False,0.35000000000000003,0.8,0.6514,0.5043,0.3788,0.4237,0.4232,0.6231,0.8524
2000,False,0.35000000000000003,0.88,0.6896,0.5046,0.3788,0.4167,0.3523,0.6231,0.7613
2100,False,0.35000000000000003,0.78,0.6553,0.5108,0.3788,0.3734,0.3318,0.6231,0.8093
2200,False,0.35000000000000003,0.86,0.6791,0.5177,0.3788,0.3378,0.3127,0.6231,0.7482
2300,False,0.35000000000000003,0.83,0.7036,0.5177,0.3788,0.3188,0.4536,0.6231,0.7615
2400,False,0.35000000000000003,0.85,0.7502,0.5069,0.3788,0.3188,0.4614,0.6231,0.8263
2500,False,0.35000000000000003,0.82,0.6809,0.5127,0.3788,0.3188,0.4876,0.6109,0.8348
2600,False,0.35000000000000003,0.87,0.7432,0.5214,0.3788,0.3188,0.4853,0.6109,0.7767
2700,False,0.33,0.81,0.6558,0.521,0.3788,0.3188,0.51,0.6109,0.8254
2800,False,0.33,0.85,0.745,0.5185,0.3788,0.3188,0.4365,0.5868,0.8254
2900,False,0.20999999999999996,0.83,0.7402,0.5169,0.3788,0.3201,0.3855,0.5868,0.8334
3000,False,0.20999999999999996,0.82,0.7026,0.4739,0.3788,0.3201,0.4296,0.5805,0.8411
3100,False,0.33,0.79,0.6409,0.4745,0.3788,0.3201,0.4323,0.5805,0.7323
3200,False,0.33,0.75,0.6645,0.4745,0.3788,0.3201,0.4646,0.5805,0.7208
3300,False,0.33,0.75,0.673,0.4745,0.3596,0.3201,0.4691,0.5805,0.7454
3400,False,0.33,0.74,0.6023,0.4583,0.3596,0.3201,0.4733,0.5805,0.7361
3500,False,0.33,0.79,0.6825,0.4592,0.4209,0.3201,0.4764,0.5805,0.7589
3600,False,0.33,0.81,0.6678,0.4699,0.4209,0.3201,0.4764,0.5805,0.7145
3700,False,0.33,0.79,0.6785,0.4541,0.4482,0.3201,0.5351,0.5805,0.6846
3800,False,0.33,0.85,0.7649,0.4697,0.4482,0.3201,0.4901,0.5805,0.7335
3900,False,0.33,0.83,0.7036,0.4585,0.4482,0.3241,0.4887,0.5805,0.725
4000,False,0.20999999999999996,0.82,0.7397,0.4607,0.4532,0.3241,0.4888,0.5805,0.757
4100,False,0.20999999999999996,0.83,0.7272,0.4607,0.4561,0.3211,0.5252,0.5805,0.7845
4200,False,0.16999999999999998,0.88,0.783,0.4401,0.4561,0.3211,0.5182,0.5805,0.8157
4300,False,0.16999999999999998,0.83,0.7551,0.4401,0.4799,0.3196,0.4759,0.5805,0.7979
4400,False,0.16999999999999998,0.86,0.7693,0.4401,0.4802,0.3196,0.5135,0.5805,0.8091
4500,False,0.16999999999999998,0.85,0.7711,0.4401,0.4807,0.3196,0.4925,0.5805,0.7976
4600,False,0.16999999999999998,0.78,0.6951,0.4353,0.4829,0.3196,0.4556,0.5805,0.7211
4700,False,0.16999999999999998,0.79,0.7059,0.4353,0.4625,0.3196,0.4578,0.5752,0.7673
4800,False,0.16999999999999998,0.81,0.727,0.4199,0.4307,0.3196,0.476,0.5752,0.7673
4900,False,0.20999999999999996,0.8,0.6876,0.4333,0.4129,0.3196,0.4937,0.5752,0.7575
5000,False,0.20999999999999996,0.73,0.637,0.44,0.4129,0.3196,0.4591,0.5752,0.7575
5100,False,0.20999999999999996,0.8,0.7013,0.4182,0.4019,0.3196,0.4918,0.5752,0.7817
5200,False,0.20999999999999996,0.87,0.7365,0.42,0.3866,0.3196,0.4727,0.5752,0.8033
5300,False,0.20999999999999996,0.87,0.7707,0.4118,0.3866,0.3196,0.4892,0.5685,0.8224
5400,False,0.20999999999999996,0.85,0.734,0.4239,0.3866,0.3196,0.4737,0.5685,0.8123
5500,False,0.20999999999999996,0.84,0.7438,0.4327,0.3724,0.3196,0.4577,0.5685,0.8184
5600,False,0.20999999999999996,0.83,0.727,0.4327,0.3724,0.3196,0.4671,0.5685,0.8211
5700,False,0.20999999999999996,0.81,0.6891,0.4348,0.3724,0.3196,0.4836,0.5685,0.8427
5800,False,0.20999999999999996,0.74,0.6733,0.4401,0.3724,0.3259,0.4836,0.5685,0.7926
5900,False,0.20999999999999996,0.85,0.7091,0.4443,0.3724,0.3091,0.4985,0.5616,0.7541
6000,False,0.20999999999999996,0.78,0.6967,0.4457,0.3724,0.3091,0.4823,0.5558,0.7298
6100,False,0.20999999999999996,0.76,0.6848,0.4418,0.4025,0.3091,0.5128,0.5558,0.7233
6200,False,0.20999999999999996,0.86,0.7415,0.4367,0.4025,0.3091,0.5558,0.5558,0.7318
6300,False,0.20999999999999996,0.74,0.6435,0.4396,0.4025,0.3091,0.5173,0.5558,0.7493
6400,False,0.20999999999999996,0.8,0.6953,0.4366,0.4025,0.3102,0.499,0.5558,0.7565
6500,False,0.20999999999999996,0.81,0.73,0.4411,0.4025,0.3078,0.5261,0.5558,0.7769
6600,False,0.20999999999999996,0.76,0.6566,0.4342,0.4025,0.3003,0.4653,0.5558,0.7213
6700,False,0.20999999999999996,0.82,0.692,0.433,0.4219,0.2913,0.4527,0.5558,0.7517
6800,False,0.16999999999999998,0.86,0.773,0.4191,0.4577,0.2913,0.4547,0.5558,0.7654
6900,False,0.16999999999999998,0.79,0.6977,0.4192,0.4596,0.2931,0.4564,0.5558,0.7571
7000,False,0.16999999999999998,0.81,0.7303,0.4249,0.4596,0.2931,0.4865,0.5558,0.7703
7100,False,0.16999999999999998,0.81,0.7158,0.4249,0.4511,0.2931,0.4863,0.5558,0.7763
7200,False,0.16999999999999998,0.76,0.7047,0.4249,0.4855,0.2931,0.4986,0.5558,0.7763
7300,False,0.16999999999999998,0.78,0.659,0.412,0.4427,0.2931,0.471,0.5558,0.7601
7400,False,0.16999999999999998,0.85,0.7502,0.412,0.4452,0.2931,0.4842,0.5558,0.7456
7500,False,0.16999999999999998,0.82,0.741,0.412,0.419,0.2931,0.4842,0.5558,0.7655
7600,False,0.20999999999999996,0.86,0.7841,0.4201,0.419,0.2914,0.4843,0.5558,0.778
7700,False,0.20999999999999996,0.75,0.6321,0.4239,0.3947,0.2914,0.471,0.5496,0.7741
