step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.83,0.6156,0.9241,0.9989,0.8684,0.9025,0.8984,1.0
200,False,,0.77,0.5896,0.9034,0.8308,0.8126,0.728,0.8494,0.9117
300,False,0.20999999999999996,0.83,0.6126,0.8698,0.6307,0.7055,0.7299,0.6311,0.924
400,False,0.35000000000000003,0.76,0.6315,0.7866,0.5795,0.68,0.7665,0.6311,0.8056
500,False,0.29,0.92,0.7718,0.7696,0.5646,0.6285,0.7658,0.6311,0.7955
600,False,0.29,0.88,0.7409,0.7393,0.5646,0.6186,0.7966,0.6051,0.8383
700,False,0.29,0.84,0.7199,0.7372,0.5646,0.6137,0.8634,0.6051,0.7842
800,False,0.29,0.88,0.7706,0.7327,0.5646,0.6092,0.7711,0.6051,0.839
900,False,0.35000000000000003,0.73,0.6478,0.7229,0.5646,0.6092,0.8142,0.6051,0.7404
1000,False,0.35000000000000003,0.88,0.759,0.7177,0.5646,0.6062,0.8725,0.6051,0.7193
1100,False,0.35000000000000003,0.91,0.8043,0.7173,0.5646,0.6062,0.884,0.5919,0.7117
1200,False,0.29,0.87,0.7368,0.7134,0.5646,0.6062,0.8223,0.5919,0.7309
1300,False,0.26999999999999996,0.89,0.7686,0.7112,0.5646,0.6062,0.8289,0.5919,0.7304
1400,False,0.29,0.83,0.7579,0.71,0.5646,0.6062,0.8073,0.5919,0.6747
1500,False,0.29,0.87,0.7599,0.7102,0.5646,0.6019,0.8065,0.5827,0.6546
1600,False,0.29,0.84,0.7514,0.7102,0.5646,0.6019,0.8377,0.5827,0.6334
1700,False,0.4100000000000001,0.83,0.7529,0.7083,0.5646,0.6019,0.7781,0.5745,0.5423
1800,False,0.4100000000000001,0.82,0.7306,0.7083,0.5646,0.6019,0.8006,0.5745,0.4791
1900,False,0.4100000000000001,0.86,0.7417,0.7028,0.5646,0.6019,0.8145,0.5541,0.5092
2000,False,0.29,0.8,0.6849,0.6792,0.5321,0.6019,0.7719,0.4988,0.5092
2100,False,0.29,0.88,0.7889,0.68,0.5321,0.6019,0.7792,0.4963,0.5051
2200,False,0.4100000000000001,0.85,0.7454,0.6835,0.5321,0.5999,0.7606,0.4851,0.4767
2300,False,0.35000000000000003,0.83,0.7138,0.6841,0.5321,0.5999,0.7418,0.4582,0.5053
2400,False,0.29,0.82,0.7187,0.6489,0.5321,0.5999,0.7636,0.4582,0.5056
2500,False,0.35000000000000003,0.84,0.7295,0.6521,0.5321,0.5999,0.7528,0.4571,0.5552
2600,False,0.35000000000000003,0.74,0.6638,0.6574,0.5321,0.5999,0.7184,0.4569,0.4954
2700,False,0.35000000000000003,0.84,0.741,0.6627,0.5321,0.5999,0.7437,0.4569,0.5866
2800,False,0.35000000000000003,0.93,0.8112,0.6678,0.5557,0.5999,0.7813,0.4569,0.6062
2900,False,0.35000000000000003,0.92,0.8227,0.6747,0.5557,0.5999,0.7925,0.4488,0.6431
3000,False,0.29,0.85,0.7194,0.6768,0.5557,0.5999,0.8039,0.4488,0.6386
3100,False,0.29,0.83,0.7308,0.6783,0.5557,0.5999,0.7865,0.4488,0.6386
3200,False,0.35000000000000003,0.83,0.7332,0.6794,0.5557,0.5999,0.7737,0.4488,0.6386
3300,False,0.35000000000000003,0.83,0.6882,0.6807,0.5557,0.5999,0.7483,0.4488,0.6245
3400,False,0.35000000000000003,0.89,0.7598,0.6831,0.5557,0.5999,0.7998,0.4488,0.6039
3500,False,0.35000000000000003,0.83,0.6893,0.6899,0.5557,0.5999,0.7742,0.4488,0.6302
3600,False,0.29,0.83,0.6971,0.6899,0.5557,0.5814,0.7762,0.4488,0.5491
3700,False,0.29,0.82,0.7246,0.6906,0.5752,0.5797,0.7209,0.4488,0.5433
3800,False,0.29,0.86,0.7444,0.6913,0.5752,0.5751,0.7489,0.4488,0.5194
3900,False,0.29,0.9,0.7742,0.6659,0.5752,0.5751,0.7476,0.4488,0.4966
4000,False,0.29,0.85,0.7518,0.6676,0.593,0.5751,0.6891,0.4488,0.497
4100,False,0.29,0.81,0.7263,0.6694,0.593,0.5706,0.7273,0.4488,0.5125
4200,False,0.29,0.77,0.6766,0.6711,0.5683,0.5706,0.7123,0.4496,0.5089
4300,False,0.29,0.88,0.7157,0.6754,0.5683,0.5698,0.6914,0.4496,0.5069
4400,False,0.29,0.89,0.8232,0.6776,0.5683,0.5698,0.7111,0.4496,0.5241
4500,False,0.29,0.91,0.7932,0.6825,0.5683,0.5698,0.7435,0.4496,0.4994
4600,False,0.29,0.8,0.6989,0.6844,0.5683,0.5698,0.7373,0.4461,0.5185
4700,False,0.29,0.89,0.7871,0.6842,0.5683,0.5692,0.7283,0.4461,0.5185
4800,False,0.29,0.92,0.8121,0.6842,0.5683,0.5692,0.7223,0.4461,0.5361
4900,False,0.29,0.86,0.7594,0.6862,0.5683,0.5692,0.7197,0.4467,0.5509
5000,False,0.29,0.85,0.7575,0.6907,0.5683,0.5692,0.6962,0.4467,0.5714
5001,True,0.29,0.85,0.7575,0.6907,0.5683,0.5692,0.6808,0.4467,0.5714
