step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.81,0.5347,0.8621,0.9997,0.9445,0.9178,1.0,1.0
200,False,,0.8,0.6417,0.8101,0.9988,0.8305,0.925,1.0,1.0
300,False,,0.8,0.6286,0.7993,0.9983,0.7637,0.8541,1.0,1.0
400,False,0.24999999999999994,0.77,0.6135,0.663,0.9979,0.7637,0.7319,1.0,1.0
500,False,0.33,0.77,0.6603,0.663,0.9978,0.7316,0.7319,1.0,1.0
600,False,0.31,0.84,0.6738,0.663,0.9113,0.6806,0.6704,1.0,1.0
700,False,0.31,0.81,0.7108,0.6095,0.7804,0.6587,0.6168,1.0,1.0
800,False,0.31,0.9,0.7798,0.6095,0.8261,0.6379,0.6168,1.0,1.0
900,False,0.31,0.87,0.7636,0.6095,0.762,0.6058,0.5697,1.0,1.0
1000,False,0.31,0.86,0.7394,0.5977,0.7034,0.5942,0.5269,1.0,1.0
1100,False,0.31,0.87,0.7533,0.5977,0.7253,0.5381,0.5269,1.0,1.0
1200,False,0.18999999999999997,0.85,0.7718,0.5977,0.7253,0.5381,0.5594,1.0,1.0
1300,False,0.39000000000000007,0.78,0.6895,0.5977,0.6893,0.5378,0.5203,1.0,1.0
1400,False,0.31,0.89,0.7819,0.5977,0.7505,0.5281,0.5203,1.0,1.0
1500,False,0.35000000000000003,0.88,0.7815,0.5977,0.7683,0.5262,0.5789,1.0,1.0
1600,False,0.24999999999999994,0.77,0.683,0.6044,0.6008,0.5262,0.567,1.0,1.0
1700,False,0.35000000000000003,0.86,0.7249,0.5591,0.56,0.5263,0.5603,1.0,1.0
1800,False,0.35000000000000003,0.91,0.807,0.5675,0.683,0.5263,0.6161,1.0,1.0
1900,False,0.35000000000000003,0.79,0.6862,0.5675,0.7379,0.5263,0.6204,1.0,1.0
2000,False,0.33,0.85,0.7534,0.5675,0.6504,0.5263,0.6448,1.0,1.0
2100,False,0.35000000000000003,0.85,0.7604,0.5675,0.6658,0.5263,0.6297,1.0,1.0
