filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Cell Phones & Accessories',single,6.0113,0-10%,15.0019,15.47,0.9995,0.995,0.905,0.9226,0.0176,0.79,15.0019,15.47,0.9995,0.995,0.905,1.0753,3.1879,0.451,0.21,0.2084
"main_cat IN ('Cell Phones & Accessories', 'Office Products')",in_set,7.0767,0-10%,17.7452,18.5963,0.9975,0.995,0.8888,0.9196,0.0308,0.74,17.7452,18.5963,1.0,1.0,0.8933,0.638,0.8024,0.545,0.255,0.2542
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics')",in_set,9.3137,0-10%,22.4436,23.1597,1.0,1.0,0.8636,0.8969,0.0333,0.745,22.4436,23.1597,1.0,1.0,0.8636,0.6787,1.1436,0.5005,0.255,0.254
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,10.5931,10-20%,25.4118,26.8693,0.998,0.995,0.8414,0.8884,0.0471,0.71,25.4118,26.8693,1.0,1.0,0.8449,0.6414,0.8143,0.5665,0.29,0.289
main_cat='Home Audio & Theater',single,16.0693,10-20%,40.0409,43.4804,0.9995,0.995,0.7494,0.8185,0.0691,0.71,40.0409,43.4804,0.9995,0.995,0.7494,0.6923,1.2036,0.664,0.29,0.2889
"main_cat IN ('Home Audio & Theater', 'Automotive')",in_set,16.9588,10-20%,42.142,43.6174,0.9995,0.995,0.7438,0.8192,0.0754,0.7,42.1448,43.6174,0.9995,0.995,0.7413,0.6579,0.8943,0.6885,0.31,0.3089
"main_cat IN ('Home Audio & Theater', 'Office Products', 'Automotive')",in_set,18.0242,10-20%,44.6262,45.9978,0.9955,0.995,0.7276,0.8251,0.0975,0.64,44.6262,45.9978,1.0,1.0,0.7312,0.5871,0.7826,0.725,0.355,0.3539
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Automotive')",in_set,20.9893,20-30%,50.7644,51.9155,0.9935,0.99,0.6882,0.8171,0.1289,0.585,50.7687,51.9155,1.0,1.0,0.6952,0.5843,0.7778,0.648,0.405,0.4038
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Automotive')",in_set,23.0122,20-30%,55.4344,57.2225,0.9975,0.995,0.6609,0.8189,0.158,0.53,55.4413,57.2225,1.0,1.0,0.6642,0.6107,0.8235,0.692,0.465,0.4635
"main_cat IN ('All Electronics', 'Sports & Outdoors', 'Portable Audio & Accessories')",in_set,24.9916,20-30%,60.8277,67.0524,0.999,0.99,0.6261,0.8818,0.2557,0.31,60.8348,67.0524,1.0,1.0,0.6307,0.5461,0.692,0.9305,0.685,0.6828
"main_cat IN ('All Electronics', 'Car Electronics', 'Portable Audio & Accessories')",in_set,27.0146,20-30%,64.8181,67.5992,1.0,1.0,0.6078,0.8835,0.2758,0.29,64.8225,67.5992,1.0,1.0,0.6059,0.5726,1.0707,0.9315,0.715,0.7123
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Automotive')",in_set,30.0269,30-40%,70.7203,72.5193,1.0,1.0,0.5765,0.8181,0.2415,0.43,70.7372,72.5193,1.0,1.0,0.5744,0.642,0.9035,0.8005,0.575,0.573
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Car Electronics')",in_set,31.8015,30-40%,0.559,1.2799,0.9365,0.73,0.7228,0.8689,0.146,0.725,75.7099,91.8199,1.0,1.0,0.5349,0.5531,1.2283,0.934,0.725,0.7223
"main_cat IN ('Camera & Photo', 'Home Audio & Theater')",in_set,34.8896,30-40%,1.1828,2.9414,0.8405,0.58,0.5726,0.7561,0.1835,0.58,83.645,120.8748,0.9995,0.995,0.4512,1.1828,2.9414,0.84,0.575,0.5701
"main_cat IN ('Computers', 'Home Audio & Theater')",in_set,39.1952,30-40%,2.1379,3.4687,0.851,0.595,0.5876,0.7377,0.1501,0.595,101.6886,133.3371,1.0,1.0,0.3701,2.1379,3.4687,0.851,0.595,0.5876
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,61.683,50-90%,2.186,4.1777,0.955,0.76,0.7369,0.7718,0.035,0.745,151.4782,198.916,1.0,1.0,0.0919,2.1689,3.8932,0.955,0.76,0.7496
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,64.434,50-90%,2.2549,3.6375,0.979,0.88,0.8637,0.8748,0.0111,0.875,157.0532,199.6037,1.0,1.0,0.0631,2.2549,3.6001,0.979,0.88,0.8679
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,58.0155,50-90%,1.6504,2.9378,0.972,0.83,0.8214,0.8514,0.03,0.83,133.61,174.9611,1.0,1.0,0.1635,1.6504,2.9378,0.972,0.83,0.8214
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,57.3773,50-90%,1.8997,3.4067,0.964,0.815,0.8015,0.8333,0.0318,0.81,136.0488,172.5017,1.0,1.0,0.1645,1.8997,3.391,0.964,0.815,0.8053
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,51.6251,50-90%,1.2887,2.526,0.9575,0.8,0.7898,0.8431,0.0533,0.795,118.6606,151.7439,1.0,1.0,0.2566,1.2887,2.5092,0.9575,0.8,0.7932
verified=false,single,100.0,50-90%,2.3854,3.5664,0.984,0.885,0.8724,0.8724,0.0,0.885,231.6262,300.2758,0.9995,0.995,0.0,2.3854,3.5664,0.984,0.885,0.8724
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,48.9161,40-50%,0.9719,3.161,0.954,0.795,0.7887,0.8579,0.0692,0.795,111.2388,115.6872,1.0,1.0,0.3359,0.9719,3.161,0.954,0.795,0.7887
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,47.9576,40-50%,0.5299,1.9382,0.9545,0.835,0.8286,0.883,0.0544,0.835,109.0533,127.1819,1.0,1.0,0.3326,0.5277,1.8461,0.952,0.83,0.8269
"main_cat IN ('All Electronics', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,47.3194,40-50%,0.79,2.0558,0.9665,0.83,0.8221,0.8848,0.0627,0.825,108.1338,113.2366,1.0,1.0,0.3489,0.79,2.0501,0.9665,0.83,0.8253
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,46.8931,40-50%,0.5013,0.6819,0.951,0.755,0.7528,0.8397,0.087,0.755,106.9311,112.6625,1.0,1.0,0.3528,0.5013,0.6819,0.951,0.755,0.7528
"main_cat IN ('Computers', 'All Electronics', 'Portable Audio & Accessories')",in_set,46.8382,40-50%,0.5181,0.6803,0.95,0.765,0.7564,0.8474,0.091,0.755,106.8895,109.6419,1.0,1.0,0.3565,0.5181,0.6697,0.95,0.765,0.7627
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,46.7036,40-50%,0.5623,2.8518,0.9525,0.765,0.7609,0.843,0.0821,0.765,106.2511,127.2156,1.0,1.0,0.3496,0.5623,2.8518,0.9525,0.765,0.7609
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,46.6791,40-50%,0.7276,1.5642,0.949,0.75,0.7463,0.8362,0.0898,0.75,106.6094,112.8472,1.0,1.0,0.3568,0.7276,1.5642,0.949,0.75,0.7463
"main_cat IN ('Computers', 'All Electronics', 'Automotive')",in_set,46.5033,40-50%,0.5922,3.2723,0.9525,0.76,0.7462,0.836,0.0898,0.745,106.8974,134.7236,1.0,1.0,0.3381,0.5855,3.1131,0.9525,0.76,0.7558
"main_cat IN ('Computers', 'All Electronics')",in_set,45.6137,40-50%,0.7514,1.44,0.9485,0.76,0.7564,0.8431,0.0867,0.76,104.7198,124.5947,1.0,1.0,0.3578,0.7514,1.44,0.9485,0.76,0.7564
