phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
3,300000,4.75,4.92,1.0,0.68,0.304,4.92,1.0,1.02,0.728
3,300000,6.89,8.45,0.998,0.83,0.516,8.45,0.998,1.35,0.88
3,300000,9.04,8.48,1.0,0.83,0.48,8.48,1.0,1.43,0.868
3,300000,12.12,12.02,1.0,0.9,0.776,12.02,1.0,1.86,0.95
3,300000,14.0,13.68,1.0,0.93,0.788,13.68,1.0,2.03,0.954
3,300000,16.03,17.66,1.0,0.84,0.634,17.66,1.0,2.32,0.912
3,300000,17.91,0.84,0.688,0.84,0.688,15.84,1.0,2.23,0.924
3,300000,21.3,0.84,0.648,0.84,0.648,32.0,0.994,3.29,0.856
3,300000,22.88,0.83,0.918,0.83,0.918,21.37,1.0,2.7,0.976
3,300000,25.05,1.8,0.9,1.8,0.9,26.6,0.99,2.86,0.966
3,300000,26.98,2.04,0.912,2.04,0.912,35.1,0.988,2.83,0.972
3,300000,29.95,0.85,0.926,0.85,0.926,28.45,0.996,3.05,0.976
3,300000,32.02,1.43,0.928,1.43,0.928,38.54,1.0,3.27,0.97
3,300000,33.97,0.82,0.94,0.82,0.94,46.65,1.0,4.07,0.978
3,300000,39.03,0.82,0.942,0.82,0.942,34.21,0.988,4.05,0.97
3,300000,61.08,0.82,0.964,0.82,0.964,51.23,0.994,4.96,0.978
3,300000,66.03,0.82,0.996,0.82,0.996,60.61,1.0,6.15,0.996
3,300000,68.28,6.69,0.994,6.69,0.994,79.26,1.0,7.22,0.994
3,300000,70.08,0.82,0.99,0.82,0.99,62.16,1.0,7.07,0.992
3,300000,73.07,1.25,0.994,1.25,0.994,67.31,1.0,7.29,0.994
3,300000,75.49,1.35,0.998,1.35,0.998,93.57,1.0,7.19,0.998
3,300000,76.34,0.83,0.992,0.83,0.992,66.35,1.0,6.94,0.992
3,300000,78.7,0.91,0.954,0.91,0.954,70.02,1.0,7.73,0.998
3,300000,82.54,2.3,0.996,2.3,0.996,76.85,1.0,7.21,0.996
3,300000,83.49,1.12,0.998,1.12,0.998,76.81,1.0,7.43,1.0
3,300000,85.75,4.05,0.994,4.05,0.994,112.07,1.0,19.15,0.994
3,300000,88.17,1.83,0.994,1.83,0.994,83.78,1.0,9.21,0.996
3,300000,90.53,4.54,0.996,4.54,0.996,107.78,1.0,8.29,0.996
3,300000,92.96,1.23,0.998,1.23,0.998,98.05,1.0,8.15,0.998
3,300000,95.21,3.15,0.994,3.15,0.994,103.56,1.0,8.56,0.994
