phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
2,200000,5.0,2.92,0.998,0.56,0.38,2.92,0.998,0.74,0.824
2,200000,7.08,3.83,0.996,0.54,0.342,3.83,0.996,0.79,0.716
2,200000,9.08,5.63,1.0,0.54,0.628,5.63,1.0,1.03,0.888
2,200000,12.08,6.87,0.998,0.52,0.636,6.87,0.998,1.06,0.904
2,200000,14.0,7.96,1.0,0.53,0.782,7.96,1.0,1.27,0.938
2,200000,16.02,9.07,1.0,0.53,0.628,9.07,1.0,1.32,0.922
2,200000,17.81,10.27,0.998,0.54,0.772,10.27,0.998,1.37,0.936
2,200000,21.04,0.58,0.578,0.58,0.578,18.03,1.0,2.03,0.854
2,200000,23.1,1.82,0.68,1.82,0.68,19.24,1.0,1.75,0.91
2,200000,24.97,0.68,0.918,0.68,0.918,23.26,0.998,2.5,0.986
2,200000,27.0,0.65,0.816,0.65,0.816,17.09,1.0,2.04,0.934
2,200000,30.09,0.7,0.848,0.7,0.848,18.56,1.0,2.16,0.962
2,200000,31.88,0.56,0.924,0.56,0.924,24.1,1.0,2.68,0.984
2,200000,34.01,0.57,0.952,0.57,0.952,19.49,0.998,2.21,0.98
2,200000,38.94,0.78,0.928,0.78,0.928,29.81,0.998,3.1,0.988
2,200000,61.06,1.44,0.976,1.44,0.976,41.8,0.996,3.82,0.99
2,200000,65.83,0.58,0.998,0.58,0.998,46.16,1.0,3.66,1.0
2,200000,68.12,0.55,0.992,0.55,0.992,41.77,0.996,3.72,0.992
2,200000,70.28,0.55,0.992,0.55,0.992,41.08,0.998,3.68,0.992
2,200000,72.87,0.56,0.992,0.56,0.992,42.77,0.998,3.75,0.992
2,200000,75.03,0.73,0.99,0.73,0.99,53.98,0.998,3.75,0.99
2,200000,77.35,0.54,0.99,0.54,0.99,43.83,0.998,3.69,0.99
2,200000,78.96,0.55,0.996,0.55,0.996,45.93,0.998,3.75,0.996
2,200000,82.09,0.54,0.992,0.54,0.992,45.91,1.0,3.74,0.992
2,200000,83.71,0.54,0.996,0.54,0.996,46.54,0.998,3.76,0.996
2,200000,86.03,1.62,0.996,1.62,0.996,66.75,0.998,3.87,0.996
2,200000,88.19,0.54,0.996,0.54,0.996,48.22,0.998,3.79,0.996
2,200000,90.78,0.57,0.996,0.57,0.996,50.41,0.998,4.01,0.996
2,200000,92.94,0.62,0.996,0.62,0.996,52.35,0.998,4.07,0.996
2,200000,95.25,0.78,0.996,0.78,0.996,68.92,0.998,3.99,0.996
