phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
4,388000,5.01,6.66,0.986,2.51,0.416,6.66,0.986,1.16,0.888
4,388000,7.13,16.38,0.998,0.96,0.446,16.38,0.998,2.1,0.74
4,388000,9.24,11.29,0.994,0.93,0.522,11.29,0.994,1.74,0.852
4,388000,11.96,27.56,0.988,1.29,0.688,27.56,0.988,2.55,0.88
4,388000,14.12,18.02,0.986,1.25,0.56,18.02,0.986,2.55,0.88
4,388000,16.01,3.34,0.874,3.34,0.874,25.32,0.974,2.97,0.954
4,388000,18.04,1.65,0.74,1.65,0.74,23.39,0.976,3.04,0.926
4,388000,21.24,1.79,0.636,1.79,0.636,32.4,0.966,3.1,0.89
4,388000,23.09,0.96,0.938,0.96,0.938,29.79,0.96,3.35,0.954
4,388000,25.11,1.03,0.894,1.03,0.894,29.98,0.974,3.76,0.954
4,388000,27.08,1.09,0.876,1.09,0.876,36.7,0.958,5.57,0.952
4,388000,29.93,2.6,0.894,2.6,0.894,43.79,0.97,4.61,0.95
4,388000,32.02,2.28,0.896,2.28,0.896,45.85,0.962,4.56,0.956
4,388000,34.16,4.0,0.85,4.0,0.85,47.63,0.958,4.74,0.942
4,388000,39.2,1.03,0.886,1.03,0.886,46.78,0.96,5.14,0.946
4,388000,60.83,3.02,0.912,3.02,0.912,96.35,0.956,8.85,0.942
4,388000,66.13,0.98,0.93,0.98,0.93,78.09,0.956,8.74,0.95
4,388000,67.53,1.03,0.936,1.03,0.936,82.77,0.958,9.53,0.948
4,388000,70.13,6.04,0.946,6.04,0.946,154.22,0.958,11.13,0.95
4,388000,72.58,3.32,0.944,3.32,0.944,113.63,0.958,9.85,0.948
4,388000,75.18,8.88,0.946,8.88,0.946,151.98,0.958,11.83,0.95
4,388000,77.37,3.65,0.944,3.65,0.944,120.5,0.958,10.05,0.948
4,388000,77.87,0.97,0.928,0.97,0.928,87.81,0.958,9.5,0.948
4,388000,82.42,1.87,0.944,1.87,0.944,97.3,0.958,9.76,0.948
4,388000,82.92,3.33,0.952,3.33,0.952,133.72,0.958,10.0,0.954
4,388000,85.11,3.92,0.946,3.92,0.946,116.65,0.958,11.92,0.952
4,388000,87.71,4.13,0.952,4.13,0.952,135.75,0.956,9.89,0.954
4,388000,90.16,2.24,0.95,2.24,0.95,128.99,0.958,9.2,0.952
4,388000,92.76,3.69,0.952,3.69,0.952,112.29,0.958,8.93,0.954
4,388000,94.95,3.89,0.95,3.89,0.95,129.65,0.958,9.56,0.952
