filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Cell Phones & Accessories',single,6.0113,0-10%,15.2149,15.9513,0.9995,0.995,0.9037,0.9213,0.0176,0.79,15.2149,15.9513,0.9995,0.995,0.9037,1.0615,3.2645,0.4565,0.21,0.2082
"main_cat IN ('Cell Phones & Accessories', 'Office Products')",in_set,7.0767,0-10%,17.7489,19.7062,1.0,1.0,0.8886,0.915,0.0263,0.75,17.7572,19.7062,1.0,1.0,0.8881,0.7204,1.3832,0.551,0.255,0.254
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics')",in_set,9.3137,0-10%,22.6166,24.0348,0.9975,0.995,0.8586,0.8949,0.0363,0.755,22.6166,24.0348,1.0,1.0,0.8629,0.6844,0.9109,0.5095,0.24,0.2391
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,10.5931,10-20%,25.6264,27.1811,1.0,1.0,0.8449,0.8848,0.0398,0.735,25.6264,27.1811,1.0,1.0,0.8449,0.625,0.8104,0.571,0.265,0.2641
main_cat='Home Audio & Theater',single,16.0693,10-20%,39.965,42.3892,0.991,0.98,0.7412,0.8272,0.0859,0.67,39.97,42.3892,0.9995,0.995,0.7526,0.6049,0.8149,0.665,0.315,0.314
"main_cat IN ('Home Audio & Theater', 'Automotive')",in_set,16.9588,10-20%,42.1983,46.4577,0.999,0.99,0.7363,0.8255,0.0891,0.66,42.1995,46.7082,0.9995,0.995,0.7397,0.5688,0.7654,0.6895,0.335,0.334
"main_cat IN ('Home Audio & Theater', 'Office Products', 'Automotive')",in_set,18.0242,10-20%,44.2601,48.4487,0.9965,0.995,0.726,0.8256,0.0995,0.635,44.2661,48.4487,1.0,1.0,0.7297,0.675,1.2268,0.7315,0.36,0.3586
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Automotive')",in_set,20.9893,20-30%,50.6954,52.571,1.0,1.0,0.6922,0.8035,0.1113,0.63,50.6954,52.571,1.0,1.0,0.6922,0.6067,0.8209,0.627,0.37,0.3689
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Automotive')",in_set,23.0122,20-30%,55.2249,56.9392,0.9985,0.995,0.6656,0.8112,0.1456,0.56,55.2249,56.9392,1.0,1.0,0.669,0.5828,0.7972,0.667,0.435,0.4337
"main_cat IN ('All Electronics', 'Sports & Outdoors', 'Portable Audio & Accessories')",in_set,24.9916,20-30%,60.4727,63.31,1.0,1.0,0.6374,0.8868,0.2494,0.31,60.5047,63.31,1.0,1.0,0.6356,0.5529,0.8599,0.9495,0.695,0.6927
"main_cat IN ('All Electronics', 'Car Electronics', 'Portable Audio & Accessories')",in_set,27.0146,20-30%,0.5299,0.7116,0.9485,0.71,0.7059,0.88,0.1741,0.71,64.9575,74.7086,1.0,1.0,0.6022,0.5299,0.7093,0.948,0.705,0.7029
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Automotive')",in_set,30.0269,30-40%,0.5728,2.6032,0.819,0.62,0.6111,0.8217,0.2105,0.615,70.5359,99.4845,1.0,1.0,0.5512,0.5728,2.3447,0.813,0.61,0.6075
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Car Electronics')",in_set,31.8015,30-40%,1.0208,2.2178,0.953,0.73,0.7249,0.8618,0.1369,0.73,77.1663,96.3413,1.0,1.0,0.5181,1.0208,2.2178,0.953,0.73,0.7249
"main_cat IN ('Camera & Photo', 'Home Audio & Theater')",in_set,34.8896,30-40%,0.763,1.7104,0.8275,0.575,0.5697,0.78,0.2103,0.575,81.9606,91.8071,0.9995,0.995,0.4996,0.761,1.7068,0.827,0.57,0.5672
"main_cat IN ('Computers', 'Home Audio & Theater')",in_set,39.1952,30-40%,0.6748,1.3302,0.868,0.625,0.6198,0.7903,0.1705,0.62,90.8367,109.2053,1.0,1.0,0.4441,0.6677,1.2393,0.868,0.625,0.6225
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,61.683,50-90%,1.6361,3.1738,0.9655,0.78,0.7682,0.7994,0.0313,0.775,142.0746,187.6163,1.0,1.0,0.1293,1.626,3.1691,0.9655,0.78,0.7721
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,64.434,50-90%,2.0072,3.8021,0.9845,0.895,0.8691,0.8899,0.0207,0.885,150.1101,258.7321,1.0,1.0,0.0872,1.9876,3.7034,0.984,0.89,0.8788
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,58.0155,50-90%,1.5557,2.8207,0.977,0.84,0.828,0.8599,0.0319,0.835,130.9812,161.0711,1.0,1.0,0.1822,1.536,2.7683,0.977,0.84,0.8318
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,57.3773,50-90%,1.0605,3.2415,0.9745,0.83,0.8201,0.8579,0.0378,0.825,128.2206,155.0082,1.0,1.0,0.2092,1.0605,3.2319,0.9745,0.83,0.8238
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,51.6251,50-90%,0.858,1.6154,0.966,0.805,0.7965,0.8542,0.0577,0.8,116.7006,144.2535,1.0,1.0,0.2779,0.858,1.6154,0.966,0.805,0.8007
verified=false,single,100.0,50-90%,2.1372,3.4927,0.9905,0.905,0.893,0.893,0.0,0.905,223.8087,273.3282,0.9995,0.995,0.0,2.1372,3.4927,0.9905,0.905,0.893
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,48.9161,40-50%,0.875,2.72,0.965,0.805,0.7963,0.8624,0.0661,0.805,110.2545,113.7576,1.0,1.0,0.3395,0.873,2.7032,0.964,0.8,0.7945
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,47.9576,40-50%,0.5228,1.0392,0.955,0.83,0.8209,0.8847,0.0638,0.825,107.8634,115.7867,1.0,1.0,0.3477,0.5228,1.0216,0.954,0.825,0.8223
"main_cat IN ('All Electronics', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,47.3194,40-50%,0.6423,1.2921,0.9765,0.835,0.8221,0.8887,0.0666,0.82,107.0836,110.8389,1.0,1.0,0.3528,0.6384,1.2149,0.9765,0.835,0.8316
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,46.8931,40-50%,0.504,0.7317,0.9625,0.765,0.7627,0.8468,0.0841,0.765,106.0086,113.2285,1.0,1.0,0.359,0.504,0.7317,0.9625,0.765,0.7627
"main_cat IN ('Computers', 'All Electronics', 'Portable Audio & Accessories')",in_set,46.8382,40-50%,0.6517,1.2506,0.961,0.775,0.7687,0.8553,0.0866,0.77,105.7397,109.3736,1.0,1.0,0.3626,0.6517,1.2475,0.961,0.775,0.7718
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,46.7036,40-50%,0.5702,1.014,0.963,0.78,0.7773,0.8569,0.0796,0.78,105.6709,116.3596,1.0,1.0,0.3611,0.5702,1.014,0.963,0.78,0.7773
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,46.6791,40-50%,0.5021,0.993,0.9615,0.785,0.7794,0.8581,0.0787,0.785,105.445,109.8989,1.0,1.0,0.3662,0.5021,0.957,0.96,0.78,0.7775
"main_cat IN ('Computers', 'All Electronics', 'Automotive')",in_set,46.5033,40-50%,0.5434,1.5555,0.965,0.78,0.7768,0.8541,0.0774,0.78,105.3087,119.8766,1.0,1.0,0.3584,0.5434,1.5555,0.965,0.78,0.7768
"main_cat IN ('Computers', 'All Electronics')",in_set,45.6137,40-50%,0.6248,1.4733,0.96,0.775,0.7624,0.8527,0.0904,0.765,103.8746,107.159,1.0,1.0,0.3752,0.6248,1.3843,0.9595,0.77,0.7666
