step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.87,0.6245,0.9184,1.0,1.0,0.9993,1.0,1.0
200,False,,0.77,0.6021,0.8969,0.9997,1.0,0.7518,1.0,1.0
300,False,,0.73,0.6256,0.8466,0.839,1.0,0.7216,1.0,1.0
400,False,0.18999999999999997,0.84,0.6858,0.8331,0.8656,0.9127,0.7458,1.0,1.0
500,False,0.31,0.76,0.6774,0.8212,0.8243,0.828,0.6212,1.0,1.0
600,False,0.35000000000000003,0.89,0.7895,0.8212,0.8517,0.7066,0.6212,1.0,1.0
700,False,0.39000000000000007,0.78,0.6852,0.8212,0.8843,0.6214,0.6212,1.0,1.0
800,False,0.35000000000000003,0.89,0.7938,0.8212,0.7765,0.609,0.5711,1.0,1.0
900,False,0.39000000000000007,0.87,0.7361,0.78,0.7765,0.6,0.5711,1.0,1.0
1000,False,0.33,0.87,0.7444,0.774,0.7765,0.5674,0.5711,1.0,1.0
1100,False,0.39000000000000007,0.81,0.687,0.7576,0.7346,0.5599,0.5578,1.0,1.0
1200,False,0.33,0.85,0.7138,0.746,0.7346,0.5475,0.5467,1.0,1.0
1300,False,0.33,0.9,0.7607,0.7365,0.7346,0.5465,0.5773,1.0,1.0
1400,False,0.33,0.88,0.7484,0.7312,0.6847,0.5465,0.5375,1.0,1.0
1500,False,0.33,0.87,0.7471,0.7231,0.6847,0.5089,0.5375,1.0,1.0
1600,False,0.33,0.82,0.7119,0.7164,0.7048,0.5176,0.468,1.0,1.0
1700,False,0.33,0.87,0.7791,0.7115,0.7048,0.5246,0.468,1.0,1.0
1800,False,0.33,0.89,0.8005,0.7107,0.7048,0.53,0.438,1.0,1.0
1900,False,0.35000000000000003,0.8,0.7206,0.7044,0.7229,0.5235,0.438,1.0,1.0
2000,False,0.33,0.84,0.7505,0.7044,0.7836,0.5266,0.438,1.0,1.0
2100,False,0.33,0.88,0.7495,0.7039,0.7158,0.5375,0.4712,1.0,1.0
2200,False,0.33,0.87,0.7644,0.7039,0.7474,0.5192,0.4712,1.0,1.0
2300,False,0.35000000000000003,0.84,0.7304,0.7033,0.7474,0.5161,0.4712,1.0,1.0
2400,False,0.35000000000000003,0.82,0.739,0.7033,0.7462,0.5163,0.4712,1.0,1.0
2500,False,0.35000000000000003,0.9,0.8022,0.7033,0.7603,0.5195,0.4712,1.0,1.0
2600,False,0.33,0.91,0.8353,0.7033,0.7733,0.5207,0.445,1.0,1.0
2700,False,0.33,0.88,0.7932,0.7033,0.7974,0.5198,0.4491,1.0,1.0
2800,False,0.33,0.87,0.76,0.6982,0.7644,0.5108,0.4491,1.0,1.0
2900,False,0.35000000000000003,0.88,0.7764,0.6982,0.7626,0.5193,0.4491,1.0,1.0
3000,False,0.35000000000000003,0.91,0.8005,0.6982,0.7429,0.5225,0.426,1.0,1.0
3100,False,0.35000000000000003,0.87,0.762,0.6982,0.7406,0.525,0.426,1.0,1.0
3200,False,0.35000000000000003,0.88,0.7901,0.6982,0.7492,0.5243,0.426,1.0,1.0
3300,False,0.35000000000000003,0.91,0.841,0.6982,0.7833,0.5254,0.426,1.0,1.0
3400,False,0.35000000000000003,0.83,0.7186,0.6978,0.7833,0.5206,0.426,1.0,1.0
3500,False,0.33,0.86,0.7798,0.6978,0.7225,0.5252,0.426,1.0,1.0
3600,False,0.33,0.9,0.8054,0.6978,0.7474,0.5268,0.4056,1.0,1.0
3700,False,0.33,0.86,0.7552,0.6975,0.7382,0.5289,0.4056,1.0,1.0
3800,False,0.33,0.94,0.8221,0.6975,0.7382,0.5364,0.4056,1.0,1.0
3900,False,0.33,0.86,0.7548,0.6975,0.6727,0.5327,0.4056,1.0,1.0
4000,False,0.31,0.84,0.6986,0.6971,0.6727,0.5386,0.4056,1.0,1.0
4100,False,0.31,0.85,0.7539,0.697,0.6727,0.5331,0.4056,1.0,1.0
4200,False,0.33,0.87,0.7752,0.697,0.6871,0.5354,0.4056,1.0,1.0
4300,False,0.33,0.88,0.7478,0.697,0.6871,0.5428,0.4056,1.0,1.0
4400,False,0.33,0.9,0.7754,0.6964,0.6871,0.5475,0.4056,1.0,1.0
4500,False,0.33,0.83,0.6994,0.6959,0.7001,0.5473,0.389,1.0,1.0
4600,False,0.33,0.87,0.7546,0.6939,0.671,0.5519,0.3732,1.0,1.0
4700,False,0.33,0.88,0.7519,0.6943,0.671,0.5545,0.3732,1.0,1.0
4800,False,0.35000000000000003,0.85,0.7188,0.6942,0.671,0.5484,0.3732,1.0,1.0
4900,False,0.31,0.83,0.7209,0.6943,0.671,0.5498,0.3591,1.0,1.0
5000,False,0.3000000000000001,0.89,0.7786,1.0,1.0,0.5387,0.3591,0.4475,0.8115
5001,True,0.3000000000000001,0.89,0.7813,1.0,1.0,0.5387,0.3591,0.4475,0.8115
