filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,65.1278,50-90%,2.297,3.6607,0.9755,0.87,0.8575,0.8725,0.0149,0.865,227.8882,269.3037,0.9995,0.995,0.08,2.297,3.5892,0.9755,0.87,0.8619
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,62.3208,50-90%,2.9075,4.4819,0.9655,0.855,0.8362,0.8479,0.0116,0.85,238.4672,347.0378,0.9995,0.995,0.0668,2.9075,4.3164,0.965,0.85,0.8401
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,54.4388,50-90%,2.034,3.4464,0.9645,0.845,0.834,0.8689,0.0349,0.84,189.1003,244.9894,0.9945,0.99,0.2132,2.034,3.4112,0.9645,0.845,0.8378
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,53.2358,50-90%,2.2795,3.7189,0.942,0.845,0.8334,0.8667,0.0333,0.84,189.0226,230.0281,0.994,0.985,0.2194,2.2734,3.6846,0.942,0.845,0.8373
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,51.4246,50-90%,2.3421,3.7392,0.9555,0.775,0.7674,0.8185,0.0511,0.775,185.6359,253.7947,1.0,1.0,0.2319,2.3421,3.7392,0.9555,0.775,0.7674
verified=false,single,100.0,50-90%,3.3281,4.7543,0.9895,0.94,0.9278,0.9278,0.0,0.94,382.9063,1236.5899,0.995,0.995,0.0,3.3281,4.7543,0.9895,0.94,0.9278
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,50.5798,50-90%,1.3955,3.3667,0.963,0.835,0.8297,0.8798,0.0501,0.835,170.4182,176.1279,0.9995,0.995,0.3145,1.3955,3.3667,0.963,0.835,0.8297
"main_cat IN ('Computers', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,50.4288,50-90%,0.5323,0.7951,0.921,0.77,0.7651,0.8342,0.0691,0.77,169.4762,173.1554,0.994,0.985,0.3165,0.5323,0.7855,0.9185,0.765,0.7634
"main_cat IN ('Computers', 'Camera & Photo', 'Car Electronics')",in_set,49.3768,40-50%,0.5034,1.0018,0.916,0.785,0.7799,0.8486,0.0687,0.78,165.8453,177.3238,0.9985,0.985,0.3192,0.5034,0.9972,0.916,0.785,0.7832
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,48.7126,40-50%,1.2058,3.0303,0.959,0.825,0.8171,0.8737,0.0566,0.82,165.2528,193.7338,0.9995,0.995,0.3217,1.2058,2.9564,0.959,0.825,0.8203
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,48.5076,40-50%,0.9343,1.6984,0.9635,0.825,0.8154,0.8712,0.0558,0.82,164.7044,196.9917,0.9995,0.995,0.3227,0.914,1.6135,0.963,0.82,0.817
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,48.4962,40-50%,1.1736,2.1762,0.9595,0.8,0.7929,0.8518,0.0589,0.795,164.8447,215.1024,0.9995,0.995,0.3117,1.1736,2.1462,0.9595,0.8,0.7961
"main_cat IN ('Computers', 'All Electronics', 'Portable Audio & Accessories')",in_set,48.47,40-50%,0.8967,2.4074,0.9585,0.82,0.8165,0.8709,0.0545,0.82,164.0031,189.8924,0.9995,0.995,0.3274,0.8967,2.4074,0.9585,0.82,0.8165
"main_cat IN ('Computers', 'All Electronics', 'Automotive')",in_set,48.2524,40-50%,1.2165,2.2313,0.9655,0.825,0.8208,0.8735,0.0527,0.825,164.5485,210.2684,0.9995,0.995,0.3138,1.2165,2.2313,0.9655,0.825,0.8208
