filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Car Electronics',single,3.1282,0-10%,11.5223,11.816,0.995,0.995,0.9488,0.9563,0.0074,0.925,11.5223,11.816,1.0,1.0,0.9536,1.7264,4.3349,0.236,0.07,0.0694
main_cat='Cell Phones & Accessories',single,6.9872,0-10%,25.6761,26.4604,0.9895,0.985,0.8842,0.9141,0.03,0.745,25.6767,26.4604,0.9945,0.99,0.8876,0.6533,0.8474,0.531,0.26,0.2594
"main_cat IN ('Cell Phones & Accessories', 'Sports & Outdoors')",in_set,8.2482,0-10%,30.048,30.5301,0.9855,0.98,0.8618,0.9055,0.0437,0.695,30.0534,30.5301,0.9945,0.99,0.8706,0.6452,0.8322,0.573,0.295,0.2943
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,11.3764,10-20%,43.0294,44.827,0.9905,0.985,0.8143,0.8752,0.061,0.665,43.0327,44.827,0.9945,0.99,0.8184,0.6431,0.8729,0.6195,0.33,0.3293
main_cat='Home Audio & Theater',single,14.8692,10-20%,55.5064,57.2183,0.9995,0.995,0.7728,0.8433,0.0705,0.68,55.5064,57.2183,0.9995,0.995,0.7728,0.6158,0.7995,0.623,0.32,0.3193
"main_cat IN ('Home Audio & Theater', 'Tools & Home Improvement')",in_set,15.9252,10-20%,59.3287,62.4577,1.0,1.0,0.7598,0.84,0.0802,0.67,59.3287,62.4577,1.0,1.0,0.7586,0.6179,0.8518,0.6685,0.335,0.3343
"main_cat IN ('Home Audio & Theater', 'Car Electronics')",in_set,17.9974,10-20%,66.4473,70.867,1.0,1.0,0.7323,0.8237,0.0914,0.655,66.4473,70.867,1.0,1.0,0.731,0.6347,0.8417,0.648,0.35,0.3492
"main_cat IN ('All Electronics', 'Tools & Home Improvement', 'Office Products')",in_set,20.9798,20-30%,76.4593,85.0239,1.0,1.0,0.69,0.9029,0.2129,0.32,76.4593,85.0239,1.0,1.0,0.6855,0.6512,1.4699,0.9335,0.695,0.6929
"main_cat IN ('All Electronics', 'Car Electronics', 'Portable Audio & Accessories')",in_set,23.0258,20-30%,83.4906,91.6591,1.0,1.0,0.6605,0.9023,0.2419,0.28,83.4906,91.6591,1.0,1.0,0.6605,0.6908,1.6361,0.937,0.72,0.7176
"main_cat IN ('Home Audio & Theater', 'Cell Phones & Accessories', 'Car Electronics')",in_set,24.9846,20-30%,90.8279,111.7684,0.991,0.99,0.6202,0.8096,0.1894,0.495,90.8279,111.7684,0.995,0.995,0.6216,0.7136,1.4664,0.7785,0.505,0.5035
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Tools & Home Improvement')",in_set,26.9224,20-30%,97.681,243.5442,0.995,0.995,0.5259,0.8599,0.334,0.255,97.681,243.5442,0.995,0.995,0.5259,1.4658,4.3693,0.943,0.745,0.7392
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,29.8334,20-30%,2.0808,3.9398,0.8085,0.595,0.583,0.79,0.2069,0.585,110.2903,152.2296,0.9985,0.985,0.5145,2.0741,3.7782,0.808,0.59,0.5852
"main_cat IN ('Computers', 'Car Electronics')",in_set,31.7006,30-40%,1.5725,2.6884,0.8065,0.605,0.5989,0.7925,0.1936,0.605,113.4435,144.832,0.9985,0.985,0.5108,1.5725,2.6853,0.806,0.6,0.5962
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Sports & Outdoors')",in_set,33.8064,30-40%,1.8196,3.3295,0.8005,0.54,0.5357,0.7473,0.2115,0.54,126.2169,157.3014,1.0,1.0,0.4684,1.8196,3.3295,0.8005,0.54,0.5357
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Car Electronics')",in_set,38.6878,30-40%,2.652,4.3804,0.869,0.715,0.702,0.8081,0.1061,0.705,149.0725,273.0834,0.994,0.985,0.3626,2.6464,4.1834,0.869,0.715,0.7075
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,61.1178,50-90%,2.213,3.3261,0.9705,0.88,0.8723,0.8868,0.0145,0.88,210.4097,267.792,0.9995,0.995,0.1373,2.213,3.3261,0.9705,0.88,0.8723
