step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.78,0.5479,1.0,1.0,0.8799,1.0,0.9465,0.9998
200,False,,0.76,0.5856,1.0,1.0,0.8262,0.9051,0.8034,0.913
300,False,,0.82,0.6293,1.0,1.0,0.7838,0.8305,0.7176,0.8285
400,False,0.16999999999999998,0.85,0.699,1.0,1.0,0.7838,0.8444,0.6552,0.7695
500,False,0.22999999999999995,0.87,0.7273,1.0,1.0,0.75,0.7716,0.6552,0.8067
600,False,0.18999999999999997,0.86,0.7863,1.0,1.0,0.75,0.8231,0.6552,0.7922
700,False,0.35000000000000003,0.78,0.6787,1.0,1.0,0.715,0.7114,0.6552,0.749
800,False,0.33,0.87,0.7597,1.0,1.0,0.6843,0.6819,0.6552,0.7512
900,False,0.22999999999999995,0.83,0.7293,1.0,1.0,0.6693,0.727,0.6552,0.716
1000,False,0.33,0.84,0.722,1.0,1.0,0.6626,0.7085,0.6189,0.686
1100,False,0.33,0.8,0.7154,1.0,1.0,0.6626,0.6951,0.6076,0.6084
1200,False,0.4100000000000001,0.82,0.7241,1.0,1.0,0.6626,0.6842,0.5974,0.5909
1300,False,0.29,0.86,0.7458,1.0,1.0,0.6436,0.6612,0.588,0.6194
1400,False,0.29,0.86,0.737,1.0,1.0,0.6234,0.7053,0.5786,0.6701
1500,False,0.35000000000000003,0.85,0.7365,1.0,1.0,0.6234,0.7248,0.5701,0.6903
1600,False,0.35000000000000003,0.85,0.741,1.0,1.0,0.6234,0.7425,0.5701,0.6409
1700,False,0.26999999999999996,0.83,0.7089,1.0,1.0,0.6234,0.7135,0.5701,0.6639
1800,False,0.26999999999999996,0.84,0.7396,1.0,1.0,0.6234,0.6842,0.5701,0.6849
1900,False,0.35000000000000003,0.88,0.7863,1.0,1.0,0.6234,0.6404,0.5701,0.7226
2000,False,0.35000000000000003,0.82,0.734,1.0,1.0,0.6234,0.5996,0.5701,0.7092
2100,False,0.35000000000000003,0.84,0.7356,1.0,1.0,0.6027,0.5996,0.5701,0.7017
2200,False,0.35000000000000003,0.84,0.6982,1.0,1.0,0.5889,0.5628,0.5701,0.6609
2300,False,0.35000000000000003,0.84,0.721,1.0,1.0,0.5871,0.5882,0.5701,0.6102
2400,False,0.35000000000000003,0.9,0.7902,1.0,1.0,0.5871,0.6116,0.5701,0.5961
2500,False,0.35000000000000003,0.84,0.7383,1.0,1.0,0.5734,0.5662,0.5578,0.5626
2600,False,0.35000000000000003,0.91,0.7614,1.0,1.0,0.564,0.6334,0.5525,0.6176
2700,False,0.35000000000000003,0.85,0.7481,1.0,1.0,0.564,0.6357,0.5525,0.6622
2800,False,0.35000000000000003,0.84,0.727,1.0,1.0,0.564,0.6227,0.5525,0.6159
2900,False,0.35000000000000003,0.89,0.7446,1.0,1.0,0.564,0.6314,0.5476,0.6027
3000,False,0.4100000000000001,0.85,0.724,1.0,1.0,0.56,0.717,0.5476,0.5435
3100,False,0.35000000000000003,0.87,0.7699,1.0,1.0,0.56,0.7448,0.5426,0.5662
3200,False,0.26999999999999996,0.88,0.7856,1.0,1.0,0.56,0.7696,0.5426,0.5778
3300,False,0.26999999999999996,0.85,0.7752,1.0,1.0,0.56,0.7809,0.5426,0.5692
3400,False,0.4100000000000001,0.81,0.7153,1.0,1.0,0.56,0.7197,0.5426,0.5346
3500,False,0.4100000000000001,0.86,0.738,1.0,1.0,0.56,0.653,0.5263,0.5094
3600,False,0.4100000000000001,0.85,0.7263,1.0,1.0,0.553,0.6277,0.5207,0.5094
3700,False,0.35000000000000003,0.92,0.8198,1.0,1.0,0.553,0.6196,0.5207,0.5298
3800,False,0.26999999999999996,0.86,0.7546,1.0,1.0,0.5543,0.6321,0.5177,0.5474
3900,False,0.35000000000000003,0.9,0.7816,1.0,1.0,0.5543,0.6321,0.5177,0.622
4000,False,0.35000000000000003,0.85,0.7278,1.0,1.0,0.5552,0.6482,0.5177,0.6001
4100,False,0.35000000000000003,0.9,0.7739,1.0,1.0,0.5452,0.6918,0.5177,0.5924
4200,False,0.35000000000000003,0.88,0.7477,1.0,1.0,0.5452,0.7049,0.5152,0.5434
4300,False,0.35000000000000003,0.83,0.7075,1.0,1.0,0.5452,0.6297,0.5152,0.5594
4400,False,0.35000000000000003,0.91,0.746,1.0,1.0,0.5452,0.6599,0.5132,0.5363
4500,False,0.35000000000000003,0.82,0.7275,1.0,1.0,0.5452,0.6347,0.5092,0.5338
4600,False,0.29,0.92,0.7672,1.0,1.0,0.5452,0.5836,0.5054,0.5316
4700,False,0.29,0.8,0.7068,1.0,1.0,0.5452,0.5835,0.5054,0.5628
4800,False,0.29,0.89,0.7945,1.0,1.0,0.5452,0.631,0.5054,0.6021
4900,False,0.26999999999999996,0.87,0.7755,1.0,1.0,0.5452,0.6593,0.5038,0.6352
5000,False,0.26,0.77,0.6973,0.723,0.4073,0.5452,0.5971,0.4968,0.6095
5001,True,0.26,0.77,0.6972,0.723,0.4073,0.5452,0.5971,0.4968,0.6095
