step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.82,0.6089,0.925,0.9989,0.8863,0.9026,0.898,1.0
200,False,,0.77,0.595,0.9055,0.8307,0.8274,0.7299,0.8561,0.9117
300,False,,0.84,0.6201,0.8722,0.6908,0.7058,0.7086,0.7065,0.9264
400,False,0.35000000000000003,0.75,0.6296,0.7909,0.6341,0.6831,0.758,0.7065,0.8076
500,False,0.29,0.92,0.7837,0.7688,0.6107,0.6739,0.7618,0.7065,0.7978
600,False,0.35000000000000003,0.87,0.7339,0.7505,0.6107,0.6593,0.7949,0.6865,0.8426
700,False,0.29,0.82,0.7047,0.7452,0.6107,0.6525,0.8069,0.6865,0.789
800,False,0.29,0.88,0.7751,0.7427,0.6107,0.6458,0.7723,0.6865,0.8441
900,False,0.29,0.74,0.6502,0.7351,0.6107,0.6458,0.8757,0.6865,0.7354
1000,False,0.4100000000000001,0.82,0.7061,0.7296,0.6107,0.6458,0.8682,0.6865,0.6661
1100,False,0.35000000000000003,0.88,0.7585,0.7285,0.6107,0.6458,0.9148,0.6386,0.6889
1200,False,0.35000000000000003,0.85,0.7115,0.6881,0.6107,0.6458,0.8632,0.6386,0.7289
1300,False,0.35000000000000003,0.89,0.7673,0.6974,0.6107,0.6458,0.8435,0.6386,0.7163
1400,False,0.35000000000000003,0.87,0.7531,0.6994,0.6107,0.6458,0.8068,0.6165,0.6902
1500,False,0.35000000000000003,0.86,0.7585,0.7004,0.6107,0.6403,0.8165,0.6062,0.6683
1600,False,0.35000000000000003,0.89,0.7869,0.7011,0.6107,0.6403,0.8401,0.6062,0.7257
1700,False,0.35000000000000003,0.85,0.7589,0.7025,0.6107,0.6403,0.7896,0.6062,0.6208
1800,False,0.4100000000000001,0.85,0.7552,0.703,0.6107,0.6403,0.8185,0.6062,0.5485
1900,False,0.4100000000000001,0.82,0.7232,0.7051,0.6107,0.6403,0.8246,0.5819,0.5747
2000,False,0.35000000000000003,0.82,0.7258,0.7069,0.5756,0.6403,0.743,0.5683,0.5988
2100,False,0.35000000000000003,0.89,0.7714,0.7075,0.5756,0.6373,0.7815,0.5627,0.5863
2200,False,0.35000000000000003,0.89,0.7571,0.7087,0.5756,0.6351,0.7974,0.5497,0.5533
2300,False,0.35000000000000003,0.87,0.7665,0.7087,0.598,0.6351,0.8058,0.5497,0.5912
2400,False,0.35000000000000003,0.81,0.7082,0.7094,0.598,0.6351,0.8157,0.5497,0.5826
2500,False,0.35000000000000003,0.82,0.6957,0.7095,0.598,0.6351,0.7939,0.5442,0.6112
2600,False,0.35000000000000003,0.81,0.7261,0.7097,0.598,0.6351,0.7506,0.5395,0.6297
2700,False,0.35000000000000003,0.87,0.7614,0.7099,0.6181,0.6351,0.7835,0.5395,0.6656
2800,False,0.35000000000000003,0.92,0.7968,0.7105,0.6181,0.6351,0.7953,0.5395,0.6819
2900,False,0.35000000000000003,0.97,0.8837,0.7109,0.6181,0.6351,0.8364,0.5359,0.7386
3000,False,0.29,0.82,0.7071,0.7102,0.6181,0.6351,0.8415,0.5359,0.7019
3100,False,0.29,0.83,0.7307,0.7107,0.6181,0.6351,0.7717,0.5359,0.7019
3200,False,0.35000000000000003,0.85,0.7589,0.7109,0.6181,0.6351,0.7737,0.5359,0.7288
3300,False,0.29,0.85,0.7492,0.711,0.6181,0.6351,0.7826,0.5359,0.7287
3400,False,0.29,0.84,0.7372,0.7113,0.6181,0.6351,0.7772,0.5359,0.6748
3500,False,0.35000000000000003,0.83,0.6957,0.7106,0.6181,0.6334,0.7896,0.5359,0.6891
3600,False,0.29,0.84,0.7029,0.7109,0.6181,0.631,0.7846,0.5359,0.6184
3700,False,0.35000000000000003,0.79,0.7213,0.7112,0.6347,0.6287,0.7353,0.5359,0.5913
3800,False,0.35000000000000003,0.91,0.7773,0.7114,0.6347,0.6268,0.742,0.5359,0.5655
3900,False,0.4100000000000001,0.87,0.7508,0.6847,0.6347,0.6268,0.7428,0.5359,0.5175
4000,False,0.4100000000000001,0.86,0.7451,0.6859,0.6496,0.6268,0.726,0.5271,0.5175
4100,False,0.4100000000000001,0.84,0.7394,0.687,0.6496,0.625,0.7515,0.5158,0.515
4200,False,0.4100000000000001,0.82,0.6992,0.687,0.623,0.625,0.7203,0.5048,0.4937
4300,False,0.4100000000000001,0.91,0.7478,0.6925,0.623,0.6237,0.7156,0.5013,0.4737
4400,False,0.4100000000000001,0.89,0.7916,0.6933,0.623,0.6237,0.7149,0.4928,0.4752
4500,False,0.4100000000000001,0.94,0.7894,0.6956,0.623,0.6237,0.7412,0.4832,0.4752
4600,False,0.4100000000000001,0.83,0.7193,0.6976,0.623,0.6237,0.7365,0.4809,0.4752
4700,False,0.4100000000000001,0.89,0.7654,0.6988,0.623,0.622,0.7048,0.4796,0.4752
4800,False,0.4100000000000001,0.91,0.8061,0.6988,0.623,0.622,0.7102,0.4786,0.4752
4900,False,0.35000000000000003,0.89,0.7712,0.6998,0.623,0.622,0.6854,0.4643,0.4752
5000,False,0.29000000000000004,0.85,0.7388,0.7546,0.5814,0.622,0.7098,0.4643,0.5122
5001,True,0.29000000000000004,0.85,0.7346,0.7546,0.5814,0.622,0.7098,0.4643,0.5122
