step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.8,0.5359,0.9238,0.8291,0.9138,0.9176,0.902,0.901
200,False,,0.8,0.6087,0.9238,0.8291,0.9138,0.925,0.7692,0.8462
300,False,0.16999999999999998,0.76,0.5656,0.896,0.6513,0.8165,0.719,0.6408,0.7693
400,False,0.31,0.8,0.6324,0.896,0.5927,0.8165,0.7652,0.5965,0.7694
500,False,0.31,0.84,0.7305,0.8058,0.5794,0.773,0.6992,0.5965,0.795
600,False,0.31,0.85,0.7116,0.771,0.5794,0.725,0.6992,0.5696,0.7209
700,False,0.31,0.85,0.7378,0.7516,0.6135,0.6884,0.6433,0.5696,0.7942
800,False,0.35000000000000003,0.82,0.6714,0.7268,0.5644,0.6363,0.6188,0.5696,0.7349
900,False,0.33,0.85,0.7037,0.6773,0.5203,0.6084,0.6037,0.5696,0.6717
1000,False,0.35000000000000003,0.84,0.7327,0.6669,0.5203,0.6016,0.5869,0.5696,0.7049
1100,False,0.35000000000000003,0.81,0.6718,0.6606,0.5203,0.5991,0.5869,0.5696,0.6285
1200,False,0.35000000000000003,0.85,0.7143,0.6584,0.5203,0.5991,0.5869,0.5696,0.6506
1300,False,0.35000000000000003,0.87,0.7077,0.651,0.5203,0.5899,0.5869,0.5696,0.6289
1400,False,0.35000000000000003,0.86,0.7151,0.6352,0.5203,0.5792,0.6403,0.5696,0.7138
1500,False,0.35000000000000003,0.83,0.7021,0.6081,0.4842,0.5792,0.6677,0.5696,0.6668
1600,False,0.35000000000000003,0.93,0.7946,0.6101,0.4842,0.5792,0.6238,0.5696,0.7659
1700,False,0.33,0.8,0.6632,0.6091,0.4842,0.5792,0.6238,0.5696,0.6538
1800,False,0.33,0.76,0.6197,0.6062,0.4528,0.5784,0.5669,0.5606,0.6162
1900,False,0.33,0.88,0.6761,0.5675,0.4528,0.5756,0.5669,0.5606,0.6761
2000,False,0.35000000000000003,0.87,0.6924,0.5839,0.4528,0.5657,0.5669,0.5606,0.7101
2100,False,0.26999999999999996,0.82,0.6812,0.5853,0.4528,0.5657,0.5926,0.5606,0.7101
2200,False,0.35000000000000003,0.81,0.707,0.5892,0.426,0.5665,0.5571,0.5606,0.7402
2300,False,0.35000000000000003,0.85,0.6679,0.5845,0.4015,0.5605,0.5571,0.5606,0.6545
2400,False,0.35000000000000003,0.81,0.6622,0.5862,0.3788,0.5606,0.5571,0.537,0.6012
2500,False,0.35000000000000003,0.89,0.6606,0.5728,0.3383,0.5596,0.5571,0.537,0.6121
2600,False,0.35000000000000003,0.85,0.6916,0.5823,0.3383,0.561,0.5571,0.537,0.5418
2700,False,0.31,0.73,0.6235,0.5863,0.3383,0.5571,0.526,0.5309,0.5333
2800,False,0.31,0.87,0.6923,0.5893,0.3383,0.5575,0.526,0.5225,0.5285
2900,False,0.31,0.87,0.7096,0.5933,0.3383,0.5525,0.4978,0.5225,0.5502
3000,False,0.4100000000000001,0.83,0.7122,0.5931,0.3383,0.5463,0.4714,0.5225,0.4999
3100,False,0.31,0.84,0.7179,0.5931,0.3383,0.5362,0.4714,0.4963,0.5421
3200,False,0.31,0.73,0.6218,0.5718,0.3383,0.5368,0.4714,0.4963,0.536
3300,False,0.31,0.87,0.7353,0.5665,0.3383,0.5315,0.4714,0.4963,0.5754
3400,False,0.31,0.86,0.7083,0.5665,0.3692,0.5358,0.4714,0.4963,0.5695
3500,False,0.31,0.83,0.6729,0.5538,0.3519,0.5376,0.497,0.4963,0.5792
3600,False,0.31,0.86,0.7205,0.5602,0.3519,0.5391,0.497,0.4963,0.5968
3700,False,0.31,0.86,0.7434,0.5639,0.3519,0.5458,0.497,0.478,0.5968
3800,False,0.31,0.76,0.6637,0.5667,0.3804,0.5449,0.497,0.478,0.589
3900,False,0.31,0.82,0.7134,0.5687,0.3804,0.5393,0.497,0.4725,0.5974
4000,False,0.31,0.83,0.7069,0.5722,0.4068,0.5434,0.497,0.4725,0.5882
4100,False,0.31,0.82,0.7327,0.5748,0.4068,0.5425,0.497,0.4725,0.6414
4200,False,0.31,0.86,0.6983,0.583,0.4068,0.543,0.5189,0.4725,0.6305
4300,False,0.31,0.85,0.7421,0.5626,0.4068,0.5408,0.4966,0.4725,0.6447
4400,False,0.31,0.81,0.7001,0.5617,0.4068,0.5406,0.4966,0.4725,0.5605
4500,False,0.35000000000000003,0.83,0.7063,0.5617,0.4068,0.5405,0.4966,0.4619,0.5704
4600,False,0.35000000000000003,0.9,0.7325,0.5678,0.4068,0.5392,0.4966,0.4619,0.5642
4700,False,0.31,0.85,0.7209,0.5719,0.4068,0.5179,0.4966,0.4619,0.5581
4800,False,0.31,0.87,0.779,0.57,0.4068,0.5177,0.4966,0.4619,0.5974
4900,False,0.35000000000000003,0.84,0.7167,0.5747,0.4068,0.5221,0.4966,0.4619,0.6397
5000,False,0.30000000000000004,0.83,0.7114,0.6536,0.5191,0.5198,0.4769,0.4473,0.69
5001,True,0.30000000000000004,0.82,0.702,0.6536,0.5191,0.5198,0.4769,0.4473,0.6831
