filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Cell Phones & Accessories',single,5.569,0-10%,8.1879,8.5635,0.991,0.99,0.9083,0.9254,0.0171,0.835,8.1919,8.5635,0.995,0.995,0.9128,0.5987,0.7521,0.463,0.16,0.1593
"main_cat IN ('Cell Phones & Accessories', 'Sports & Outdoors')",in_set,6.8415,0-10%,9.9648,10.1992,0.9945,0.99,0.8909,0.9111,0.0202,0.795,9.9648,10.1992,0.9945,0.99,0.8904,0.5831,0.7218,0.529,0.21,0.209
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics')",in_set,9.1935,0-10%,13.0808,13.3984,0.992,0.99,0.8599,0.8948,0.0349,0.755,13.0808,13.3984,0.995,0.995,0.8643,0.5749,0.684,0.551,0.24,0.2389
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Sports & Outdoors')",in_set,10.466,10-20%,14.8155,15.4451,0.995,0.995,0.8465,0.8872,0.0407,0.72,14.8155,15.4451,0.995,0.995,0.8465,0.6079,0.7446,0.5985,0.28,0.2786
main_cat='Computers',single,14.593,10-20%,20.4015,21.4095,0.999,0.995,0.7869,0.8751,0.0882,0.575,20.4043,21.4095,1.0,1.0,0.7909,0.5099,0.7193,0.712,0.42,0.4182
"main_cat IN ('Computers', 'Automotive', 'Musical Instruments')",in_set,15.984,10-20%,22.1913,24.8522,1.0,1.0,0.774,0.8812,0.1071,0.52,22.1913,24.8522,1.0,1.0,0.774,0.4946,0.7097,0.792,0.48,0.4779
"main_cat IN ('Computers', 'Car Electronics')",in_set,18.2175,10-20%,25.0191,25.6905,1.0,1.0,0.7489,0.867,0.1181,0.52,25.0191,25.6905,1.0,1.0,0.7477,0.4776,0.6971,0.799,0.485,0.4829
"main_cat IN ('Computers', 'Cell Phones & Accessories', 'Portable Audio & Accessories')",in_set,21.1115,20-30%,28.7609,29.465,0.995,0.995,0.7074,0.8621,0.1547,0.455,28.7609,29.465,0.995,0.995,0.706,0.4935,0.7298,0.8295,0.55,0.5475
"main_cat IN ('Home Audio & Theater', 'Car Electronics', 'Office Products')",in_set,22.942,20-30%,33.3415,37.3074,0.999,0.995,0.6572,0.7983,0.1412,0.585,33.3415,37.3074,0.999,0.995,0.6556,0.5831,1.1331,0.7795,0.42,0.4177
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Automotive')",in_set,24.966,20-30%,35.4876,37.2543,0.9995,0.995,0.6374,0.7659,0.1285,0.64,35.4876,37.2543,1.0,1.0,0.6406,0.5382,0.6979,0.6705,0.355,0.3534
"main_cat IN ('Camera & Photo', 'Cell Phones & Accessories', 'Automotive')",in_set,26.9105,20-30%,38.1882,42.5108,0.9925,0.985,0.5986,0.7592,0.1606,0.585,38.1882,42.5108,0.995,0.995,0.6048,0.5878,1.2842,0.721,0.405,0.4025
"main_cat IN ('All Electronics', 'Tools & Home Improvement', 'Musical Instruments')",in_set,30.024,30-40%,0.489,0.7526,0.9475,0.7,0.6903,0.8644,0.1741,0.695,42.4505,43.5886,1.0,1.0,0.5719,0.487,0.6859,0.9465,0.69,0.6867
"main_cat IN ('All Electronics', 'Car Electronics')",in_set,31.8055,30-40%,0.4516,0.6189,0.9515,0.74,0.7345,0.8774,0.1429,0.735,44.5335,46.1047,1.0,1.0,0.5505,0.4516,0.6109,0.9515,0.74,0.7367
"main_cat IN ('Home Audio & Theater', 'Computers', 'Tools & Home Improvement')",in_set,34.0785,30-40%,0.4694,0.6616,0.903,0.64,0.6317,0.8168,0.185,0.635,48.0288,54.954,0.999,0.995,0.51,0.4694,0.6412,0.9025,0.635,0.6321
"main_cat IN ('Camera & Photo', 'Home Audio & Theater')",in_set,38.971,30-40%,0.5745,1.053,0.851,0.615,0.6048,0.7792,0.1744,0.61,54.0478,60.8762,0.999,0.995,0.4451,0.5745,0.9745,0.8465,0.61,0.6064
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Computers')",in_set,61.1055,50-90%,0.5226,0.9734,0.9545,0.765,0.7565,0.7983,0.0418,0.765,79.9486,121.6401,0.999,0.995,0.1844,0.5225,0.9589,0.954,0.76,0.7555
"main_cat IN ('All Electronics', 'Camera & Photo', 'Home Audio & Theater')",in_set,67.152,50-90%,1.3453,3.0411,0.973,0.84,0.8221,0.8314,0.0094,0.84,95.9044,123.9892,0.999,0.995,0.0507,1.3453,2.9443,0.9725,0.835,0.8221
"main_cat IN ('All Electronics', 'Camera & Photo', 'Computers')",in_set,63.4135,50-90%,0.6739,1.7187,0.971,0.825,0.8184,0.8418,0.0233,0.825,83.9636,104.2141,1.0,1.0,0.1366,0.6739,1.7187,0.971,0.825,0.8184
"main_cat IN ('All Electronics', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,54.3895,50-90%,0.6081,1.3081,0.974,0.835,0.8254,0.8603,0.0349,0.835,73.4336,93.1949,0.995,0.995,0.2339,0.6065,1.3005,0.9735,0.83,0.8243
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Computers')",in_set,53.564,50-90%,0.477,0.6648,0.962,0.78,0.7762,0.8365,0.0603,0.78,71.5828,77.1676,0.999,0.995,0.2752,0.477,0.6648,0.962,0.78,0.7762
"main_cat IN ('All Electronics', 'Camera & Photo', 'Car Electronics')",in_set,52.445,50-90%,0.566,1.1145,0.9745,0.835,0.8299,0.8729,0.043,0.835,70.8493,84.2664,1.0,1.0,0.2776,0.566,1.1145,0.9745,0.835,0.8299
verified=false,single,100.0,50-90%,0.5666,1.4318,0.976,0.865,0.8592,0.8592,0.0,0.865,126.6719,144.6232,0.994,0.99,0.0,0.5666,1.4318,0.976,0.865,0.8592
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,52.0815,50-90%,0.4803,0.6583,0.9525,0.75,0.7324,0.8185,0.0861,0.73,69.9509,72.186,0.994,0.99,0.2948,0.4789,0.6485,0.9525,0.75,0.7465
"main_cat IN ('All Electronics', 'Home Audio & Theater', 'Car Electronics')",in_set,50.137,50-90%,0.4741,0.9457,0.9555,0.78,0.7727,0.8456,0.0729,0.775,67.0581,68.9201,0.999,0.995,0.3234,0.4741,0.936,0.9555,0.78,0.776
"main_cat IN ('All Electronics', 'Camera & Photo', 'Sports & Outdoors')",in_set,50.093,50-90%,0.435,0.5912,0.9705,0.825,0.8147,0.8788,0.0641,0.815,67.0554,68.7862,1.0,1.0,0.3281,0.434,0.5789,0.9705,0.825,0.8214
