phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
4,388000,5.01,6.1,0.978,1.13,0.326,6.1,0.978,1.08,0.836
4,388000,7.13,12.65,1.0,0.71,0.374,12.65,1.0,1.72,0.716
4,388000,9.24,10.45,0.978,0.64,0.602,10.45,0.978,1.44,0.876
4,388000,11.96,19.56,1.0,0.67,0.662,19.56,1.0,2.13,0.884
4,388000,14.12,17.17,0.98,0.81,0.644,17.17,0.98,1.99,0.912
4,388000,16.01,20.15,0.974,1.06,0.824,20.15,0.974,2.25,0.938
4,388000,18.04,22.75,0.978,1.24,0.746,22.75,0.978,2.61,0.918
4,388000,21.24,5.36,0.656,5.36,0.656,30.9,0.958,2.67,0.864
4,388000,23.09,1.12,0.93,1.12,0.93,26.71,0.97,2.76,0.958
4,388000,25.11,0.67,0.916,0.67,0.916,28.13,0.966,2.93,0.956
4,388000,27.08,0.65,0.854,0.65,0.854,31.01,0.966,3.41,0.936
4,388000,29.93,0.62,0.858,0.62,0.858,33.14,0.978,3.42,0.956
4,388000,32.02,0.62,0.868,0.62,0.868,34.7,0.972,3.67,0.944
4,388000,34.16,1.4,0.85,1.4,0.85,42.85,0.96,3.87,0.916
4,388000,39.2,2.07,0.864,2.07,0.864,48.95,0.96,4.18,0.942
4,388000,60.83,2.38,0.9,2.38,0.9,88.7,0.97,7.84,0.954
4,388000,66.13,0.99,0.932,0.99,0.932,77.29,0.964,8.34,0.954
4,388000,67.53,1.22,0.956,1.22,0.956,99.59,0.972,10.02,0.962
4,388000,70.13,5.15,0.966,5.15,0.966,108.3,0.97,9.64,0.966
4,388000,72.58,4.88,0.964,4.88,0.964,127.52,0.972,9.73,0.962
4,388000,75.18,1.72,0.968,1.72,0.968,109.28,0.974,8.95,0.968
4,388000,77.37,0.89,0.964,0.89,0.964,84.68,0.97,8.55,0.962
4,388000,77.87,3.39,0.928,3.39,0.928,94.46,0.972,8.53,0.956
4,388000,82.42,18.23,0.966,18.23,0.966,117.87,0.972,8.36,0.964
4,388000,82.92,2.48,0.96,2.48,0.96,92.29,0.972,8.8,0.96
4,388000,85.11,2.48,0.956,2.48,0.956,116.91,0.964,8.36,0.96
4,388000,87.71,4.22,0.962,4.22,0.962,120.09,0.97,8.78,0.96
4,388000,90.16,1.18,0.954,1.18,0.954,117.25,0.966,9.0,0.96
4,388000,92.76,3.84,0.962,3.84,0.962,130.09,0.97,8.12,0.962
4,388000,94.95,0.97,0.956,0.97,0.956,103.07,0.962,9.15,0.96
