phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
1,100000,5.03,1.49,1.0,0.52,0.336,1.49,1.0,0.49,0.85
1,100000,7.0,2.11,1.0,0.49,0.522,2.11,1.0,0.57,0.934
1,100000,8.97,2.72,0.994,0.49,0.568,2.72,0.994,0.65,0.914
1,100000,12.05,3.44,0.99,0.51,0.492,3.44,0.99,0.74,0.92
1,100000,13.98,4.12,0.994,0.52,0.83,4.12,0.994,0.85,0.97
1,100000,16.0,4.58,0.996,0.49,0.83,4.58,0.996,0.87,0.958
1,100000,18.08,5.14,0.998,0.49,0.858,5.14,0.998,0.91,0.97
1,100000,21.09,5.99,0.996,0.49,0.918,5.99,0.996,0.98,0.982
1,100000,23.08,0.49,0.908,0.49,0.908,6.59,0.99,1.02,0.976
1,100000,24.98,0.48,0.974,0.48,0.974,7.01,1.0,1.05,0.994
1,100000,27.02,0.52,0.928,0.52,0.928,8.08,0.984,1.21,0.974
1,100000,29.83,0.54,0.944,0.54,0.944,8.71,1.0,1.25,0.98
1,100000,31.91,0.51,0.916,0.51,0.916,9.4,0.988,1.24,0.958
1,100000,34.16,0.5,0.924,0.5,0.924,9.64,0.994,1.24,0.972
1,100000,39.02,0.48,0.954,0.48,0.954,11.06,0.994,1.34,0.98
1,100000,61.14,0.48,0.92,0.48,0.92,18.97,0.95,2.04,0.962
1,100000,65.81,0.49,0.946,0.49,0.946,19.78,0.95,2.07,0.962
1,100000,68.22,0.47,0.936,0.47,0.936,20.35,0.948,2.06,0.96
1,100000,70.32,0.47,0.934,0.47,0.934,20.3,0.936,2.03,0.948
1,100000,72.88,0.48,0.944,0.48,0.944,21.06,0.948,2.1,0.96
1,100000,75.38,1.9,0.944,1.9,0.944,38.15,0.948,2.47,0.96
1,100000,77.11,0.49,0.926,0.49,0.926,25.86,0.928,2.07,0.94
1,100000,78.69,0.49,0.928,0.49,0.928,22.85,0.944,2.18,0.954
1,100000,82.45,0.48,0.938,0.48,0.938,22.58,0.942,2.12,0.954
1,100000,83.36,0.48,0.94,0.48,0.94,22.98,0.944,2.12,0.956
1,100000,85.77,0.48,0.938,0.48,0.938,23.17,0.942,2.2,0.954
1,100000,88.26,0.48,0.936,0.48,0.936,23.66,0.94,2.15,0.952
1,100000,90.43,0.5,0.94,0.5,0.94,25.02,0.942,2.27,0.954
1,100000,92.93,0.49,0.936,0.49,0.936,24.57,0.94,2.21,0.952
1,100000,95.33,0.48,0.932,0.48,0.932,25.36,0.936,2.21,0.946
