phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
2,200000,5.0,3.03,0.986,0.62,0.458,3.03,0.986,0.77,0.856
2,200000,7.08,3.92,0.98,0.56,0.342,3.92,0.98,0.81,0.732
2,200000,9.08,5.95,0.992,0.6,0.656,5.95,0.992,1.07,0.898
2,200000,12.08,7.21,0.982,0.59,0.684,7.21,0.982,1.1,0.918
2,200000,14.0,8.13,0.984,0.57,0.83,8.13,0.984,1.28,0.956
2,200000,16.02,9.2,0.982,0.58,0.692,9.2,0.982,1.33,0.926
2,200000,17.81,10.16,0.984,0.55,0.766,10.16,0.984,1.37,0.94
2,200000,21.04,0.56,0.542,0.56,0.542,17.25,0.996,1.96,0.858
2,200000,23.1,0.56,0.696,0.56,0.696,12.79,0.96,1.52,0.902
2,200000,24.97,0.56,0.92,0.56,0.92,21.05,0.998,2.17,0.978
2,200000,27.0,0.55,0.88,0.55,0.88,15.88,0.978,1.88,0.94
2,200000,30.09,0.56,0.862,0.56,0.862,16.77,0.964,1.94,0.93
2,200000,31.88,0.56,0.926,0.56,0.926,24.17,0.992,2.7,0.97
2,200000,34.01,0.56,0.906,0.56,0.906,19.11,0.968,2.31,0.936
2,200000,38.94,0.55,0.95,0.55,0.95,27.63,0.998,2.88,0.984
2,200000,61.06,0.55,0.924,0.55,0.924,37.71,0.972,3.71,0.962
2,200000,65.83,3.32,0.938,3.32,0.938,52.99,0.972,4.03,0.97
2,200000,68.12,0.55,0.94,0.55,0.94,40.21,0.972,3.72,0.968
2,200000,70.28,0.56,0.966,0.56,0.966,45.23,0.972,3.71,0.972
2,200000,72.87,0.67,0.964,0.67,0.964,52.58,0.972,3.8,0.968
2,200000,75.03,1.1,0.966,1.1,0.966,50.61,0.972,3.86,0.972
2,200000,77.35,0.57,0.962,0.57,0.962,42.84,0.972,3.8,0.966
2,200000,78.96,0.58,0.932,0.58,0.932,43.78,0.972,3.74,0.968
2,200000,82.09,0.58,0.964,0.58,0.964,45.13,0.972,3.79,0.968
2,200000,83.71,0.57,0.97,0.57,0.97,45.65,0.972,3.78,0.978
2,200000,86.03,0.57,0.946,0.57,0.946,46.72,0.972,3.79,0.974
2,200000,88.19,0.57,0.97,0.57,0.97,47.09,0.972,3.81,0.976
2,200000,90.78,1.15,0.97,1.15,0.97,69.76,0.972,3.88,0.974
2,200000,92.94,0.58,0.97,0.58,0.97,49.53,0.974,3.86,0.976
2,200000,95.25,0.6,0.968,0.6,0.968,60.66,0.972,3.95,0.972
