phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
3,300000,4.75,4.84,0.994,0.68,0.244,4.84,0.994,1.05,0.676
3,300000,6.89,0.66,0.494,0.66,0.494,7.22,0.996,1.22,0.864
3,300000,9.04,0.67,0.388,0.67,0.388,7.85,0.992,1.3,0.818
3,300000,12.12,0.68,0.68,0.68,0.68,10.8,0.996,1.53,0.918
3,300000,14.0,0.66,0.72,0.66,0.72,12.36,0.996,1.6,0.924
3,300000,16.03,0.65,0.69,0.65,0.69,15.99,0.99,2.11,0.922
3,300000,17.91,0.65,0.508,0.65,0.508,14.87,0.998,1.94,0.87
3,300000,21.3,0.68,0.646,0.68,0.646,27.42,0.996,2.99,0.896
3,300000,22.88,0.68,0.848,0.68,0.848,20.37,1.0,2.34,0.954
3,300000,25.05,0.66,0.784,0.66,0.784,21.67,0.97,2.48,0.936
3,300000,26.98,0.65,0.818,0.65,0.818,23.04,0.974,2.55,0.95
3,300000,29.95,0.66,0.854,0.66,0.854,25.2,0.974,2.63,0.944
3,300000,32.02,0.67,0.864,0.67,0.864,28.22,0.97,2.84,0.95
3,300000,33.97,0.66,0.918,0.66,0.918,39.07,0.962,3.8,0.95
3,300000,39.03,0.7,0.928,0.7,0.928,34.08,0.976,3.71,0.968
3,300000,61.08,1.76,0.886,1.76,0.886,77.01,0.98,4.55,0.96
3,300000,66.03,0.88,0.964,0.88,0.964,60.41,0.97,5.94,0.976
3,300000,68.28,0.96,0.964,0.96,0.964,62.26,0.968,6.2,0.972
3,300000,70.08,0.96,0.966,0.96,0.966,63.22,0.97,7.35,0.972
3,300000,73.07,0.85,0.964,0.85,0.964,62.98,0.968,7.17,0.972
3,300000,75.49,0.91,0.964,0.91,0.964,67.16,0.972,7.07,0.976
3,300000,76.34,1.09,0.968,1.09,0.968,88.14,0.968,6.75,0.974
3,300000,78.7,2.49,0.956,2.49,0.956,79.65,0.97,6.7,0.976
3,300000,82.54,2.59,0.964,2.59,0.964,76.54,0.968,7.02,0.972
3,300000,83.49,1.65,0.968,1.65,0.968,84.1,0.972,6.92,0.976
3,300000,85.75,1.77,0.97,1.77,0.97,81.11,0.97,7.17,0.976
3,300000,88.17,1.63,0.97,1.63,0.97,89.26,0.972,7.62,0.978
3,300000,90.53,3.68,0.97,3.68,0.97,96.52,0.97,8.55,0.976
3,300000,92.96,0.93,0.97,0.93,0.97,85.84,0.97,7.2,0.978
3,300000,95.21,3.84,0.97,3.84,0.97,106.41,0.97,7.92,0.976
