phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,22,27,0.4977,0.49666666666666665,post_filter,0.38420804776251316,1.0,0.9961579195223749,25250.017642974854,8.291972335428
learning,2,25,0.499745,0.499,post_filter,0.4032920114696026,1.0,0.995967079885304,10709.045454859734,3.1249946914613247
learning,7,17,0.634135,0.6293333333333333,post_filter,0.5352490115910769,1.0,0.9946475098840892,13874.960131943226,1.667009200900793
learning,5,12,0.318055,0.30733333333333335,post_filter,0.419124960899353,0.9,0.0,5541.951395571232,0.9160139597952366
learning,40,26,0.498065,0.49383333333333335,post_filter,0.4199169925414026,0.9,0.0,10624.993592500687,1.040985807776451
learning,23,27,0.4977,0.49666666666666665,post_filter,0.36562501918524504,1.0,0.9963437498081475,4875.008016824722,0.8329516276717186
learning,4,22,0.520815,0.5185,bitmap_prefilter,68.51970800198615,1.0,0.31480291998013854,12333.039194345474,0.9169452823698521
learning,49,7,0.211115,0.2095,bitmap_prefilter,31.302999996114522,1.0,0.6869700000388548,6375.019438564777,0.625033862888813
learning,14,2,0.091935,0.0895,post_filter,0.5078340182080865,1.0,0.9949216598179191,2541.986759752035,0.458036083728075
learning,17,12,0.318055,0.30733333333333335,bitmap_prefilter,108.76583302160725,1.0,0.0,2250.0171326100826,0.6660120561718941
learning,23,26,0.498065,0.49383333333333335,bitmap_prefilter,68.12299898592755,1.0,0.3187700101407245,5167.035851627588,0.8750357665121555
learning,13,11,0.30024,0.29283333333333333,post_filter,0.8080409606918693,0.5,0.0,5208.014044910669,0.625033862888813
learning,43,22,0.520815,0.5185,post_filter,0.42866705916821957,0.9,0.0,5999.987479299307,0.8330098353326321
learning,40,19,0.53564,0.5466666666666666,bitmap_prefilter,70.7306670374237,1.0,0.292693329625763,13291.02087765932,0.8749775588512421
learning,15,23,0.50137,0.49766666666666665,bitmap_prefilter,69.49024996720254,1.0,0.30509750032797456,6458.023563027382,0.8330098353326321
learning,17,12,0.318055,0.30733333333333335,post_filter,0.4913340089842677,1.0,0.9950866599101573,1791.9810488820076,0.667001586407423
learning,44,20,0.52445,0.5201666666666667,post_filter,0.48970797797665,1.0,0.9951029202202335,5791.953299194574,0.792031642049551
